"About the calendar","Về lịch"
"Display %s first","Hiển thị %s trước tiên"
"Distributed under GNU LGPL. See %s for details.","@FIXME: Phân phối theo GNU LGPL.  Xem % s để biết chi tiết."
"Done by:","Thực hiện bởi:"
"Done By:","Thực hiện bởi:"
"Download Remote File","@FIXME: Tải về Remote File"
"Drag to move","Kéo để di chuyển"
"//Được dịch bởi Nguyễn Thái Sơn"," STC"
"Edit Role","Sửa vai trò (role)"
"Edit User '%s'","Sử người dùng '%s'"
Email:,"@FIXME: email:"
"Email Preview","Xem trước email"
"//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com","@FIXME: // Email: sonntstc@gmail.com.  Website: http://sonntstc.vze.com"
Email,"Thư điện tử"
"Enable WSDL Cache","Kích hoạt bộ nhớ đệm WSDL"
"Enclose Values In:","@FIXME: Kèm theo giá trị Trong:"
"Entity type:","@FIXME: Loại thực thể:"
"Excl. Tax","@FIXME: Không kể.  thuế"
Exclude,"@FIXME: Loại trừ"
"Expiration Date","Ngày hết hạn"
"Expiration Date: %s/%s","Ngày hết hạn: %s/%s"
"Export Filters","Các bộ lọc xuất"
"Export to:","Xuất ra:"
Export,Xuất
Export:,Xuất:
Extension,"Phần mở rộng"
Extensions,"Các phần mở rộng"
"Field Mapping","Ánh xạ trường"
"File Information","Thông tin file"
"File name:","Tên file:"
"Final Price","Giá cuối cùng"
"Finished items creation.","@FIXME: Hoàn thành các hạng mục tạo."
"First Name:",Họ:
,"@FIXME: "
"For latest version visit: %s","@FIXME: Đối với phiên bản mới nhất của chuyến thăm:% s"
"(For US 2-letter state names)","@FIXME: ( Đối với Mỹ tên nhà nước 2 chữ cái )"
From,Từ
"FTP Host[:Port]","@FIXME: Máy chủ FTP [: Port ]"
"General Settings","Các thiết lập chung"
"Get help for this page","Tìm trợ giúp cho trang này"
"Global Record Search","Tìm kiếm toàn cục"
"Google Base Items","@FIXME: Google Base mục"
"Go Today","Đến hôm nay"
Group:,Nhóm:
"Help Us Keep Magento Healthy - Report All Bugs","@FIXME: Hãy giúp chúng tôi giữ Magento khỏe mạnh - Báo cáo Tất cả Bugs"
"- Hold mouse button on any of the above buttons for faster selection.","- Giữ phím chuột hoặc phím bất kỳ trên đây để lựa chọn nhanh hơn"
"(If left empty will be auto-generated)","@FIXME: ( Nếu để trống sẽ được tự động tạo ra)"
Ignore,"Bỏ qua"
Images,"Các ảnh"
images/logo.gif,"@FIXME: images / logo.gif"
Import,Nhập
"Import Service","Dịch vụ nhập"
Inactive,"Không kích hoạt"
"Incl. Tax","@FIXME: Incl.  thuế"
Include,"Bao gồm"
"In Database:","Trong CSDL:"
"In File:","Trong File:"
"Installed As","Được cài đặt như"
Interactive,"@FIXME: Interactive"
"Interface Locale: %s","@FIXME: Giao diện Locale:% s"
"Invalid webservice adapter specified.","Bộ chuyển đổi dịch vụ web được xác định không hợp lệ."
"Invalid webservice adapter specified","@FIXME: Bộ chuyển đổi webservice định không hợp lệ"
"Invalid webservice handler specified.","Bộ xử lý dịch vụ web được xác định không hợp lệ."
"Invalid webservice handler specified","@FIXME: Xử lý webservice định không hợp lệ"
"Invoice History","Lịch sử hóa đơn"
"Invoice Totals","Tổng số hóa đơn"
"Issue Number","@FIXME: Số phát hành"
"Issuer: %s","@FIXME: Nơi cấp: % s"
"items selected","Các item được chọn"
"Items to merge","@FIXME: Các mặt hàng sáp nhập"
"Last 5 Orders","5 đơn hàng gần đây nhất"
"Last 5 Search Terms","5 từ khóa tìm nhiều nhất"
"Last Logged In:","Lần đăng nhập cuối:"
"Last Logged In (%s):","Lần đăng nhập cuối (%s):"
"Last Name:",Tên:
"Latest Message:","Thư gần đây nhất:"
"(Leave empty for first spreadsheet)","@FIXME: ( Để trống cho bảng tính đầu tiên )"
"Leave empty to use tax identifier","Bỏ trống để sử dụng tax identifier"
Level,"Cấp bậc"
License:,"Bản quyền:"
Loading...,"Đang tải..."
"Local/Remote Server","@FIXME: Local / Remote Server"
"Local Server","@FIXME: server địa phương"
"Logged in as %s","Đăng nhập với tên %s"
"Log Out","Đăng xuất"
"Magento Core API","API lõi STCMeCOM"
"Magento Core Api","@FIXME: Magento lõi Api"
"Magento Core Api Section","@FIXME: Magento lõi Api Mục"
"Magento Core API Section","Khu vực API lõi STCMeCOM"
"Magento Logo","Biểu tượng Magento"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","@FIXME: Magento u0026 thương mại;  là thương hiệu của Irubin Consulting Inc. DBA Varien u003cbr/u003e Bản quyền u0026 copy.  % s Irubin Consulting Inc."
"Magento ver. %s","Magento phiên bản. %s"
Maintainers,"@FIXME: bảo trì"
major,"@FIXME: chính"
"Manage Stores","Quản lý kho hàng"
"Mapping Configuration","@FIXME: lập bản đồ cấu hình"
"//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7","@FIXME: // Mã zero developers: STCMeCOM1 ( STC Magento phiên bản Thương mại điện tử 2012.1.0 ) based on the version Magento Community 1.7"
Max,"Tối đa"
md5sum,"@FIXME: md5sum"
"Merge Now","@FIXME: Bây giờ hợp nhất"
minor,"@FIXME: nhỏ"
Min,"Tối thiểu"
"Module version conflict!","@FIXME: Mô-đun phiên bản xung đột!"
"MS Excel XML","@FIXME: MS Excel XML"
N/A,"@FIXME: N / A"
"Name on Card","Tên ghi trên thẻ"
"Name on the Card: %s","Tên ghi trên thẻ: %s"
Name,Tên
Name:,Tên:
"Next month (hold for menu)","Tháng tới (Giữ menu)"
"Next page","Trang kế tiếp"
"Next year (hold for menu)","Năm tới (Giữ menu)"
"No Data Found","Không tìm thấy dữ liệu"
No,Không
"No search keywords.","Không có từ khóa tìm kiếm."
Note:,"Ghi chú:"
Notes:,"Các ghi chú:"
notice,"@FIXME: nhận thấy"
"Number of records:","Tổng số kết quả:"
"of %s pages","của %s trang"
"Old rate:","Giá cũ:"
"Only mapped fields","@FIXME: Lĩnh vực duy nhất ánh xạ"
"- or click and drag for faster selection.","- hoặc click và kéo để lựa chọn nhanh hơn"
"Order confirmation email not sent","Email xác nhận chưa được gửi"
"Order confirmation email sent","Email xác nhận đã được gửi đi"
"Order Totals","Tổng số đơn hàng"
or,"@FIXME: hoặc"
"Original Magento attribute names in first row:","@FIXME: Gốc Magento tên trong hàng đầu tiên thuộc tính:"
"- or Shift-click to decrease it","- hoặc nhấn Shift-click để tăng giá trị"
Package,Gói
"Package Information","Thông tin gói"
Packages,"Các gói"
Page,Trang
"Passive mode","Chế độ thụ động"
Password,"Mật khẩu"
Path,"Đường dẫn"
Path:,"Đường dẫn:"
"PayPal Email","@FIXME: PayPal Email"
"per page","trên một trang"
"Personal Information","Thông tin các nhân"
Phone:,"Điện thoại:"
"Please confirm site switching. All data that hasn't been saved will be lost.",@TODO
"Please confirm site switching. All data that hasn\'t been saved will be lost.",@TODO
"Please enter 6 or more characters.","Vui lòng điền 6 ký tự trở lên."
"Please enter a number greater than 0 in this field.","Vui lòng điền số lớn hơn 0 trong trường này."
"Please enter a valid $ amount. For example $100.00.","Vui lòng điền số lượng chính xác $. Ví dụ $100.00."
"Please enter a valid credit card number.","Vui lòng điền số thẻ tín dụng có hiệu lực."
"Please enter a valid date.","Vui lòng điền ngày chính xác."
"Please enter a valid email address. For example johndoe@domain.com.","Vui lòng điền email chính xác. VD johndoe@domain.com."
"Please enter a valid number in this field.","Vui lòng điền số chính xác trong trường này."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vui lòng điền chính xác số điện thoại. VD (123) 456-7890 hoặc 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","@FIXME: Xin vui lòng nhập một số an sinh xã hội có hiệu lực.  Ví dụ 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vui lòng điền URL chính xác. Ví dụ http://www.example.com hoặc www.example.com"
"Please enter a valid URL. http:// is required","Vui lòng điền URL chính xác. Yêu cầu có http://"
"Please enter a valid value, ex: 10,20,30","Vui lòng điền giá trị chính xác, VD: 10,20,30"
"Please enter a valid value from list","Vui lòng chọn giá trị chính xác trong danh sách"
"Please enter a valid zip code.","@FIXME: Vui lòng nhập mã zip hợp lệ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","@FIXME: Vui lòng nhập mã zip hợp lệ.  Ví dụ 90.602 hoặc 90.602-1234."
"Please enter valid password.","Vui lòng điền mật khẩu chính xác."
"Please make sure that your changes were saved before running the profile.","Vui lòng kiểm tra đã lưu dữ liệu trước khi sử dụng profile."
"Please make sure your passwords match.","Vui lòng kiểm tra mật khẩu trùng nhau."
"Please select an option.","Vui lòng lựa chọn một tùy chọn."
"Please, select a store view","@FIXME: Vui lòng chọn xem cửa hàng"
"Please select one of the above options.","Vui lòng lựa chọn một trong những tùy chọn trên đây."
"Please select one of the options.","Vui lòng lựa chọn một trong những tùy chọn."
"Please select State/Province.","@FIXME: Vui lòng chọn Tiểu bang / Tỉnh."
"Please use in this field only ""a-z,0-9,_"".","Vui lòng chỉ sử dụng các chữ hoặc số bao gồm ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Vui lòng chỉ sử dụng chữ (a-z) trong trường này."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Vui lòng chỉ sử dụng số trong trường này. Tránh ký tự đặc biệt như dấu cách, dấu phẩy hoặc dấu chấm."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Vui lòng chỉ sửu dụng chữ (a-z) hoặc các số (0-9) trong trường này. Không sử dụng dấu cách hoặc ký tự đặc biệt khác."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Vui lòng chỉ sử dụng chữ (a-z) hoặc số (0-9) hoặc dấu cách và # trong trường này."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Vui lòng sử dụng định dạng ngày: dd/mm/yyyy. Ví dụ 18/06/2009 Cho ngày 18 tháng 6 năm 2009."
"Please wait, loading...","Vui lòng đợi, đang tải..."
"Previous page","Trang trước"
"Prev. month (hold for menu)","Tháng trước (Giữ menu)"
"Prev. year (hold for menu)","Năm ngoái (Giữ menu)"
Price,Giá
Price:,Giá:
"Primary Billing Address","Địa chỉ thanh toán chính"
"Processed <strong>%s%% %s/%d</strong> items","@FIXME: Xử lý u003cstrongu003e % s %% % s / % d u003c/ strongu003e mục"
Product,"Sản phẩm"
Products,"Các sản phẩm"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","@FIXME: ( Sản phẩm sẽ được thêm / cập nhật đến cửa hàng này nếu cửa hàng cột là trống hoặc mất tích trong các tập tin nhập khẩu. )"
"Profile Information","Thông tin profile"
"Provided Files","@FIXME: cung cấp tập tin"
Qty,Slượng
"Read details","Xem chi tiết"
Recommended,"Đề xuất"
"Remote FTP","@FIXME: từ xa FTP"
"Remote URL:","@FIXME: URL từ xa:"
Remove,"@FIXME: tẩy"
"Resource Access","Nguồn truy nhập"
Resources,"Các nguồn"
Roles,"Các vai trò"
"Roles Resources","@FIXME: Vai trò tài nguyên"
"Role Users","Vai trò các người dùng"
Role,"Vai trò (role)"
"Schedule Merge","@FIXME: lịch Merge"
"Select All","Chọn tất cả"
"Select date","Chọn ngày"
"Select Date","Chọn ngày"
"Select Range","Chọn khoảng"
"Select Visible","Chọn hiển thị"
"Select website from map","@FIXME: Chọn trang web từ bản đồ"
"Select website to map","@FIXME: Chọn trang web bản đồ"
"(Shift-)Click or drag to change value","(Shift-)Click hoặc kéo để thay đổi giá trị"
"Shipment Comments","Các đánh giá vận chuyển"
"Shipment History","Lịch sử vận chuyển"
"Shipping Address","Địa chỉ chuyển hàng"
"Shipping address selection is not applicable","Địa chỉ chuyển hàng không phù hợp"
"Shipping method selection is not applicable","Hình thức vận chuyển không phù hợp"
"Show by","Hiển thị bằng"
"Show Report for","Xem báo cáo cho"
SKU,"Mã sản phẩn"
SKU:,"Mã sản phẩn:"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Các vai trò"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Các thành viên"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Một số mục (item) trong đơn hàng có hóa đơn và loại vận chuyển khác nhau. Bạn có thể tạo vận chuyển chỉ sau khi hóa đơn đã được khởi tạo"
"Sort Order","Sắp xếp đơn hàng"
"Spreadsheet Name:","Tên bảng tính:"
"Staging Store: ","@FIXME: Dàn Store:"
"Staging Website: ","@FIXME: Dàn dựng Website:"
"Start Date","Ngày bắt đầu"
"(Starting with)","(Bắt đầu với)"
State/Province:,"@FIXME: Tiểu bang / Tỉnh:"
Status,"Trạng thái"
Status:,"Trạng thái:"
"Stock Quantity:","Số lượng lưu kho:"
"Store: ","@FIXME: cửa hàng:"
Store:,"Kho hàng:"
Subpackage,"Gói con"
Subpackages,"Các gói con"
Summary:,"Tổng hợp:"
"Switch/Solo card issue number: %s","@FIXME: Switch / Solo số vấn đề thẻ:% s"
"Switch/Solo card start Date: %s/%s","@FIXME: Switch / Solo bắt đầu thẻ ngày: % s / % s"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","@FIXME: Số vấn đề chuyển đổi / Solo / Maestro ( Vương quốc Anh trong nước), thẻ:% s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","@FIXME: Switch / Solo / Maestro ( Vương quốc Anh trong nước), thẻ bắt đầu ngày: % s / % s"
"Switch/Solo/Maestro(UK Domestic) Only","@FIXME: Switch / Solo / Maestro ( Vương quốc Anh trong nước) Chỉ"
"Switch/Solo Only","@FIXME: Switch / Solo Chỉ"
"(\\t for tab)","@FIXME: (t \\ cho tab )"
"(\t for tab)","@FIXME: ( \ t cho tab )"
"The information in this tab has been changed.","Thông tin trong thẻ (tab) này đã được thay đổi."
"This is a required field.","Thông tin trường này là bắt buộc"
"This tab contains invalid data. Please solve the problem before saving.","Thẻ (tab) này chứa dữ liệu không chính xác. Vui lòng kiểm tra trước khi lưu."
Thumbnail,"@FIXME: thumbnail"
"Time selection:","Lựa chọn thời gian:"
Time:,"Thời gian:"
to,đến
To,Đến
"Top 5 Search Terms","5 từ khóa tìm nhiều nhất"
"Total %d records found","Tổng số %d kết quả đã tìm được"
"Track order","@FIXME: để theo dõi"
"Track this shipment","@FIXME: Theo dõi lô hàng này"
Type,Loại
Type:,Loại:
"Unable to login.","Không thể đăng nhập."
"Unselect All","Hủy chọn tất cả"
"Unselect Visible","Hủy hiển thị"
"Upgrade All Available Packages","Cật nhật tất cả các gói có thể"
"Upload local file:","@FIXME: Tải lên tập tin địa phương:"
"Upload Local File","@FIXME: Tải lên tập tin địa phương"
"Use Default Value","Sử dụng giá trị mặc định"
"User name","Người dùng"
"User Name","Tên người dùng"
User,"Người dùng"
"User Roles","Các vai trò của người dùng"
Users,"Các người dùng"
"- Use the %s buttons to select month","- Sử dụng phím %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Sử dụng phím %s, %s để chọn năm"
"Value Delimiter:","@FIXME: Giá trị Delimiter:"
Version:,"Phiên bản:"
"View Statistics for","Xem trạng thái cho"
View,Xem
Visibility:,"@FIXME: Tầm nhìn:"
"Warning! Empty value can cause problems with CSV format.","Cảnh báo! Giá trị trống có thể gây lỗi với định dạng CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Cảnh báo!\r\nHành động này sẽ xóa người dùng trong vai trò đã được phân định\r\nBạn có chắc không?"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","@FIXME: Cảnh báo! RnThis hành động sẽ loại bỏ người dùng từ này đã được giao rolernAre Bạn có chắc chắn?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Cảnh báo!\r\nHành động này sẽ xóa những người dùng trong vai trò đã được phân định\r\nBạn có chắc không?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","@FIXME: Cảnh báo! RnThis hành động sẽ loại bỏ những người dùng đã được giao rolesrnAre Bạn có chắc chắn?"
"Web Services","Các dịch vụ web"
"Web Services Configuration","Cấu hình các dịch vụ web"
"Website: ","@FIXME: website:"
Websites,"@FIXME: các trang web"
"Websites / Stores","@FIXME: Trang web / Cửa hàng"
"What is this?","Đây là gì?"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","@FIXME: ( Khi Không, lĩnh vực chỉ ánh xạ sẽ được nhập khẩu. Khi lập bản đồ, sử dụng column1, column2, vv)"
"WS-I Compliance","Tuân thủ WS-I"
Yes,Có
"You have","Bạn có"
"(You have to increase php memory_limit before changing this value)","@FIXME: (Bạn phải tăng php memory_limit trước khi thay đổi giá trị này )"
"Your Account has been deactivated.","Tài khoản của bạn đã ngừng kích hoạt."
"Your account has been deactivated.","Tài khoản của Quý khách đã ngừng hoạt động."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","@FIXME: PHP cài đặt máy chủ của bạn cho phép bạn tải lên các tập tin không nhiều hơn% s tại một thời điểm.  Hãy chỉnh sửa post_max_size (hiện tại là % s) và upload_max_filesize (hiện tại là % s) giá trị trong php.ini nếu bạn muốn tải lên các tập tin lớn hơn."
"Zip/Postal Code:","@FIXME: Zip / Postal Code:"
