                            ","
"Accept payments with a PCI compliant checkout that keeps customers on your site.","@FIXME: Chấp nhận thanh toán với một kiểm tra tuân thủ PCI mà giữ khách hàng trên trang web của bạn."
"Account-to-Account Payment, initiated by PayPal","@FIXME: Tài khoản -to- Tài khoản thanh toán, bắt đầu bằng PayPal"
"ACH Deposit (Hold for Dispute or Other Investigation)","@FIXME: ACH tiền gửi (Giữ cho tranh chấp hoặc điều tra khác )"
"ACH Deposit (Reversal)","@FIXME: ACH tiền gửi ( Reversal )"
"ACH Funding for Funds Recovery from Account Balance","@FIXME: ACH tài trợ cho Quỹ Phục hồi từ dư tài khoản"
"ACH Withdrawal","@FIXME: ACH Rút"
"Add another payment method to your existing solution or as a stand-alone option.","@FIXME: Thêm phương thức thanh toán khác để giải pháp hiện tại của bạn hoặc như một lựa chọn độc lập."
"Additional Options","@FIXME: Những tùy chọn thêm"
"Add PayPal as an additional payment method to your checkout page.","@FIXME: Thêm PayPal như là một phương thức thanh toán bổ sung cho trang thanh toán của bạn."
"Add PayPal as an additional payment method to your checkout page to increase your sales.","@FIXME: Thêm PayPal như là một phương thức thanh toán bổ sung cho trang thanh toán của bạn để tăng doanh thu của bạn."
Address,"@FIXME: địa chỉ"
"Address Verification System Response","@FIXME: Địa chỉ xác nhận hệ thống đáp ứng"
"Advanced Settings","@FIXME: Advanced Settings"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","@FIXME: u003ca href=""http://www.magentocommerce.com/paypal""u003e bắt đầu chấp nhận thanh toán thông qua PayPal! u003c/au003e"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","@FIXME: Giá trị cho phép:""paypal"",""chính""(mặc định), your_custom_value ( một phong cách trang thanh toán tùy chỉnh từ hồ sơ tài khoản thương gia của bạn)."
"Allowed Credit Card Types","@FIXME: Cho phép các loại thẻ tín dụng"
"Allow in Billing Agreement Wizard","@FIXME: Cho phép trong Hiệp định Thanh toán Hướng dẫn"
"All the address information matched","@FIXME: Tất cả các thông tin địa chỉ phù hợp"
"Also affects mini-shopping cart.","@FIXME: Cũng ảnh hưởng đến giỏ hàng mini- mua sắm."
Amex,"@FIXME: Amex"
"API Authentication Methods","@FIXME: Phương pháp API Xác thực"
"API Certificate","@FIXME: Giấy chứng nhận API"
"API Password","@FIXME: API Mật khẩu"
"API Signature","@FIXME: API Chữ ký"
"API Username","@FIXME: API Tên đăng nhập"
"API User Name","@FIXME: API Tên tài khoản"
"API Uses Proxy","@FIXME: API Sử dụng Proxy"
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","@FIXME: Một sự đảo ngược đã xảy ra trên giao dịch này vì một tranh chấp của khách hàng nghi ngờ giả mạo trái phép."
"A reversal has occurred on this transaction because you have given the customer a refund.","@FIXME: Một sự đảo ngược đã xảy ra trên giao dịch này bởi vì bạn đã cung cấp cho khách hàng một khoản hoàn lại."
"A reversal has occurred on this transaction due to a chargeback by your customer.","@FIXME: Một sự đảo ngược đã xảy ra trên giao dịch này do một khoản chiết khấu của khách hàng của bạn."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","@FIXME: Một sự đảo ngược đã xảy ra trên giao dịch này do một đơn khiếu nại về giao dịch từ khách hàng của bạn."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","@FIXME: Một sự đảo ngược đã xảy ra trên giao dịch này do khách hàng gây ra một tiền lại đảm bảo."
"Ask Customer","@FIXME: yêu cầu khách hàng"
"Attempted Authentication, Bad Result","@FIXME: Xác thực cố gắng, Bad Kết quả"
"Attempted Authentication, Good Result","@FIXME: Xác thực cố gắng, kết quả tốt"
"Auction Payment other than through eBay","@FIXME: Thanh toán đấu giá khác hơn là thông qua eBay"
"Authenticated, Bad Result","@FIXME: Chứng thực, Bad Kết quả"
"Authenticated, Good Result","@FIXME: Chứng thực, Tốt Kết quả"
"Authorization expired.","@FIXME: Ủy quyền hết hạn."
Authorization,"@FIXME: cho phép"
"Authorization Honor Period (days)","@FIXME: Authorization Honor Thời gian (ngày)"
"Authorization transaction is required to void.","@FIXME: Giao dịch ủy quyền là cần thiết để làm mất hiệu lực."
"Authorization was voided by merchant.","@FIXME: Authorization bị bác bỏ bởi thương gia."
"Authorize and Capture","@FIXME: Ủy quyền và Capture"
"Authorized amount of %s.","@FIXME: Số lượng có thẩm quyền của % s."
"Authorizing amount of %s is pending approval on gateway.","@FIXME: Cho phép số lượng % s đang chờ phê duyệt gateway."
Auto,"@FIXME: xe hơi"
AutoSweep,"@FIXME: AutoSweep"
"Available Balance","@FIXME: Balance có sẵn"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","@FIXME: Một giá trị là cần thiết cho chế độ trực tiếp.  Hãy tham khảo thỏa thuận CardinalCommerce của bạn."
"Balance Manager Account Bonus","@FIXME: Cân Account Manager thưởng"
"Basic Settings - PayPal Express Checkout","@FIXME: Cài đặt cơ bản - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","@FIXME: Cài đặt cơ bản - PayPal tiến hóa Integral"
"Basic Settings - PayPal Pasarela integral","@FIXME: Cài đặt cơ bản - PayPal Pasarela thể thiếu"
"Basic Settings - PayPal Payflow Link","@FIXME: Cài đặt cơ bản - PayPal Payflow liên kết"
"Basic Settings - PayPal Payflow Pro","@FIXME: Cài đặt cơ bản - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","@FIXME: Cài đặt cơ bản - PayPal Thanh toán nâng cao"
"Basic Settings - PayPal Payments Pro","@FIXME: Cài đặt cơ bản - Thanh toán PayPal Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","@FIXME: Cài đặt cơ bản - Thanh toán PayPal Pro Hosted Giải pháp"
"Basic Settings - PayPal Payments Standard","@FIXME: Cài đặt cơ bản - Thanh toán PayPal tiêu chuẩn"
"Basic Settings - PayPal Pro","@FIXME: Cài đặt cơ bản - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","@FIXME: Cài đặt cơ bản - Trang web PayPal Thanh toán Thêm"
"Basic Settings - PayPal Website Payments Pro","@FIXME: Cài đặt cơ bản - Thanh toán PayPal Website Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","@FIXME: Cài đặt cơ bản - Trang web thanh toán PayPal Pro Hosted Giải pháp"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","@FIXME: Cài đặt cơ bản - Trang web thanh toán PayPal Pro Payflow bản"
"Basic Settings - PayPal Website Payments Standard","@FIXME: Cài đặt cơ bản - Thanh toán PayPal Trang web tiêu chuẩn"
"Billing Address","@FIXME: Địa chỉ thanh toán"
"Billing Agreement Signup","@FIXME: Hiệp định Thanh toán Đăng ký"
"Billing Information","@FIXME: Thông tin thanh toán"
"Bonus for first ACH Use","@FIXME: Tiền thưởng cho lần đầu tiên sử dụng ACH"
"Both section above must be complete. ","@FIXME: Cả hai phần trên phải được hoàn thành."
"Business Account","@FIXME: Tài khoản doanh nghiệp"
"Business Name","@FIXME: Tên doanh nghiệp"
"Buyer claims that a possible duplicate payment was made to the merchant.","@FIXME: Người mua tuyên bố rằng một khoản thanh toán trùng lặp có thể được thực hiện cho các thương gia."
"Buyer claims that he did not receive goods or service.","@FIXME: Người mua tuyên bố rằng ông đã không nhận được hàng hóa hay dịch vụ."
"Buyer claims that he/she did not authorize transaction.","@FIXME: Người mua tuyên bố rằng anh / cô ấy không cho phép giao dịch."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","@FIXME: Người mua tuyên bố rằng hàng hóa hoặc dịch vụ nhận khác nhau từ mô tả của thương gia của hàng hoá, dịch vụ."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","@FIXME: Người mua tuyên bố rằng hàng hóa nhận được là không đạt yêu cầu, bị lỗi, hoặc bị hư hỏng."
"Buyer Credit Payment","@FIXME: Thanh toán tín dụng người mua"
"Buyer\'s Tax ID",@TODO
"Buyer\'s Tax ID Type",@TODO
"By default it is ""reports.paypal.com"".","@FIXME: Theo mặc định nó là""reports.paypal.com""."
"Cannot create target file for reading reports.","@FIXME: Không thể tạo tập tin mục tiêu cho việc đọc báo cáo."
"Can not send new order email.","@FIXME: Không thể gửi email đặt hàng mới."
"Card Verification Number","@FIXME: Số Thẻ xác nhận"
"Centinel API URL","@FIXME: URL API Centinel"
"Centinel Custom API URL","@FIXME: Centinel Tuỳ chỉnh API URL"
"Change Payment Method","@FIXME: Phương pháp thay đổi thanh toán"
"Change Shipping Address","@FIXME: Thay đổi địa chỉ giao hàng"
Chargeback,"@FIXME: chargeback"
"chargeback reimbursed","@FIXME: chargeback hoàn"
"chargeback settled","@FIXME: chargeback giải quyết"
Charge-off,"@FIXME: Khoanh nợ"
"Checkout with PayPal","@FIXME: Thanh toán với PayPal"
"Choose a secure bundled payment solution for your business.","@FIXME: Chọn một giải pháp thanh toán gói an toàn cho doanh nghiệp của bạn."
City,"@FIXME: thành phố"
"Click here if you are not redirected within 10 seconds...","@FIXME: Click vào đây nếu bạn không được chuyển trong vòng 10 giây..."
Close,"@FIXME: gần"
CNPJ,"@FIXME: CNPJ"
Company,"@FIXME: công ty"
Complaint,"@FIXME: lời phàn nàn"
"Completion Date","@FIXME: Ngày kết thúc"
Configure,"@FIXME: cấu hình"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","@FIXME: Kết nối với máy chủ SFTP PayPal để lấy báo cáo mới.  Bạn có chắc muốn tiếp tục?"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","@FIXME: Kết nối tài khoản thương gia của bạn với một cổng hoàn toàn tùy biến, cho phép khách hàng trả tiền mà không rời khỏi trang web của bạn."
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","@FIXME: Kết nối tài khoản thương gia của bạn với một cổng PCI tuân thủ cho phép khách hàng trả tiền mà không rời khỏi trang web của bạn."
Continue,"@FIXME: tiếp tục"
"Countries Payment Applicable From","@FIXME: Nước thanh toán áp dụng Từ"
Country,"@FIXME: nước"
"Coupon Redemption","@FIXME: Coupon Redemption"
CPF,"@FIXME: CPF"
"Credit Card Number","@FIXME: Số Thẻ Tín Dụng"
"Credit Card Number: xxxx-%s","@FIXME: Số thẻ tín dụng: xxxx- % s"
"Credit Card Settings","@FIXME: Cài đặt thẻ tín dụng"
"Credit Card Type","@FIXME: Loại thẻ tín dụng"
"Credit Card Types","@FIXME: Các loại thẻ tín dụng"
"Credit Card Type: %s","@FIXME: Loại thẻ tín dụng: % s"
Credit,"@FIXME: thẻ tín dụng"
"Currency Conversion required to cover negative balance","@FIXME: Chuyển đổi ngoại tệ cần thiết để trang trải dư âm"
"Custom Endpoint Hostname or IP-Address","@FIXME: Tuỳ chỉnh Endpoint Hostname hoặc IP - Địa chỉ"
"customer complaint","@FIXME: khiếu nại của khách hàng"
"Customer did not include a confirmed address.","@FIXME: Khách hàng không bao gồm một địa chỉ xác nhận."
"Customer failed to pay.","@FIXME: Khách hàng không phải trả tiền."
"Customer Information","@FIXME: Thông tin khách hàng"
"Customer returned from PayPal site.","@FIXME: Khách hàng trở về từ trang web của PayPal."
"customer triggered a chargeback","@FIXME: khách hàng kích hoạt một chargeback"
"customer triggered money-back guarantee","@FIXME: khách hàng kích hoạt tiền lại đảm bảo"
"Customer used non-confirmed address.","@FIXME: Khách hàng sử dụng địa chỉ không được xác nhận."
Custom,"@FIXME: khách hàng"
"Custom Path","@FIXME: tuỳ đường dẫn"
"CVV2 Check Result by PayPal","@FIXME: CVV2 Kiểm tra kết quả bằng PayPal"
"CVV Entry is Editable","@FIXME: CVV Entry là Editable"
Daily,"@FIXME: hằng ngày"
"Debit Card Cash Back","@FIXME: Debit Card Cash Back"
"Debit Card Transaction","@FIXME: Giao dịch thẻ ghi nợ"
Debit,"@FIXME: ghi nợ"
"Debit or Credit","@FIXME: Thẻ ghi nợ hoặc tín dụng"
"Debug Flag","@FIXME: debug Cờ"
"Debug Mode","@FIXME: Chế độ debug"
"Direct Payment API","@FIXME: Thanh toán trực tiếp API"
Discount,"@FIXME: giảm giá"
Discover,"@FIXME: Khám phá"
"Display Express Checkout in the Payment Information step","@FIXME: Hiển thị Express Checkout trong Thông tin Thanh toán bước"
"Displays on catalog pages and homepage.","@FIXME: Hiển thị trên trang danh mục và trang chủ."
Dispute,"@FIXME: cuộc tranh luận"
"Don't have a PayPal account? Simply enter your email address.",@TODO
Dynamic,"@FIXME: năng động"
"eBay Auction Payment","@FIXME: Thanh toán đấu giá eBay"
"Edit Shopping Cart","@FIXME: Giỏ Sửa Shopping"
"EFT Funding (German banking)","@FIXME: EFT tài trợ (ngân hàng Đức )"
"Email Address","@FIXME: Địa chỉ email"
"Email Associated with PayPal Merchant Account","@FIXME: Gửi mail Kết hợp với Thương Gia Tài khoản PayPal"
"Email Associated with PayPal Merchant Account (Optional)","@FIXME: Email Kết hợp với tài khoản PayPal Merchant ( bắt buộc)"
"Enable Automatic Fetching","@FIXME: Kích hoạt tính năng tự động tìm nạp"
Enabled,"@FIXME: Bật"
"Enable Express Checkout","@FIXME: Kích hoạt tính năng Express Checkout"
"Enable Payflow Link","@FIXME: Kích hoạt tính năng Payflow liên kết"
"Enable PayPal Guest Checkout","@FIXME: Enable Guest Thanh toán PayPal"
"Enable SSL verification","@FIXME: Kích hoạt tính năng xác minh SSL"
"Enable this Solution","@FIXME: Giải pháp này cho phép"
"Error in creating an invoice","@FIXME: Lỗi trong việc tạo ra một hóa đơn"
"Error in refunding the payment","@FIXME: Lỗi trong hoàn trả các khoản thanh toán"
"Event Code","@FIXME: tổ chức sự kiện Mã"
Event,"@FIXME: biến cố"
"Every 10 days","@FIXME: 10 ngày"
"Every 14 days","@FIXME: Mỗi 14 ngày"
"Every 30 days","@FIXME: 30 ngày"
"Every 3 days","@FIXME: 3 ngày"
"Every 40 days","@FIXME: Mỗi 40 ngày"
"Every 7 days","@FIXME: 7 ngày"
"Exact Match. Address and nine-digit ZIP code","@FIXME: Trận đấu chính xác.  Địa chỉ và chín chữ số mã bưu điện"
"Exact Match. Address and Postal Code. International","@FIXME: Trận đấu chính xác.  Địa chỉ và Postal Code.  quốc tế"
"Exact Match. Address and Postal Code. UK-specific","@FIXME: Trận đấu chính xác.  Địa chỉ và Postal Code.  Anh cụ thể"
"                                Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b>","@FIXME: Ví dụ: u003cbu003ehttps://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkoutu0026useraction=u003cuser_actionu003eu0026amp;token=u003c/bu003e"
"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","@FIXME: Ví dụ: u003cbu003ehttps://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkoutu0026useraction=u003cuser_actionu003eu0026amp;token=u003c/bu003e  Nơi u0026 lt; user_action u0026 gt;  là cam kết hoặc tiếp tục, tùy thuộc vào sở thích của bạn cam kết nút văn bản."
"Expiration Date","@FIXME: Ngày hết hạn"
"Expiration Date: %s/%s","@FIXME: Ngày hết hạn: % s / % s"
"Explanation: %s.","@FIXME: Giải thích: % s."
"Express Checkout and Order have been canceled.","@FIXME: Express Checkout và đặt hàng đã bị hủy bỏ."
"Express Checkout APIs","@FIXME: Thể hiện Thanh toán API"
"Express Checkout","@FIXME: express Checkout"
"Express Checkout has been canceled.","@FIXME: Thanh toán Express đã được hủy bỏ."
"Failed to fetch reports from '%s@%s'.","@FIXME: Không thể lấy báo cáo từ % s @ % s."
Fax,"@FIXME: fax"
"Fee Amount","@FIXME: Số tiền lệ phí"
"Fee Debit or Credit","@FIXME: Nợ lệ phí hoặc tín dụng"
"Fee: Foreign ACH Withdrawal","@FIXME: Lệ phí: Ngoại ACH Rút"
"Fee: Mass Pay Request","@FIXME: Phí: Mass Pay Yêu cầu"
"Fee Reversal","@FIXME: phí Reversal"
"Fee: Web Site Payments Pro Account Monthly","@FIXME: Lệ phí: Thanh toán trang web Pro Tài khoản hàng tháng"
"Fee: WorldLink Check Withdrawal","@FIXME: Lệ phí: WorldLink Kiểm tra Rút"
"Fetched %s report rows from '%s@%s'.","@FIXME: Lấy % s dòng báo cáo từ % s @ % s."
Fetch,"@FIXME: Fetch"
"Fetch Updates","@FIXME: Fetch cập nhật"
"For Virtual Quotes Only","@FIXME: Đối với Quotes ảo Chỉ"
"Frontend Experience Settings","@FIXME: Frontend Kinh nghiệm Cài đặt"
Funding,"@FIXME: tài trợ"
"General: adjustment of a type not belonging to the other T12xx categories","@FIXME: Chung: điều chỉnh của một loại không thuộc loại T12xx khác"
"General Adjustment without businessrelated event","@FIXME: Điều chỉnh chung mà không cần sự kiện businessrelated"
"General (Authorization)","@FIXME: Chung ( Authorization)"
"General: bonus of a type not belonging to the other T08xx categories","@FIXME: Chung: tiền thưởng của một loại không thuộc loại T08xx khác"
"General Currency Conversion","@FIXME: Nói chung chuyển đổi tiền tệ"
"General (Dividend)","@FIXME: Chung ( cổ tức )"
"General: event not yet categorized","@FIXME: Chung: sự kiện chưa phân loại"
"General Funding of PayPal Account ","@FIXME: Kinh phí chung của tài khoản PayPal"
"General (Funds Transfer from PayPal Account to Another)","@FIXME: Chung ( Chuyển Tiền từ tài khoản PayPal để khác )"
"General: non-payment fee of a type not belonging to the other T01xx categories","@FIXME: Phí không thanh toán của một loại không thuộc loại T01xx khác: chung"
"General. Product no longer supported","@FIXME: Nói chung.  Sản phẩm không còn được hỗ trợ"
"General (Purchase with a credit card)","@FIXME: Chung ( mua bằng thẻ tín dụng )"
"General: received payment of a type not belonging to the other T00xx categories","@FIXME: Chung: nhận được thanh toán của một loại không thuộc loại T00xx khác"
"General Redemption","@FIXME: Redemption chung"
"General: reversal of a type not belonging to the other T11xx categories","@FIXME: Tổng thể: một loại không thuộc loại T11xx khác"
"General: temporary hold of a type not belonging to the other T15xx categories","@FIXME: Chung: giữ tạm thời của một loại không thuộc loại T15xx khác"
"General: Use of PayPal account for purchasing as well as receiving payments","@FIXME: Chung: Sử dụng tài khoản PayPal để mua cũng như nhận được các khoản thanh toán"
"General: Withdrawal from PayPal Account","@FIXME: Chung: Rút từ tài khoản PayPal"
"General Withdrawal from PayPal Account","@FIXME: Tổng Rút từ tài khoản PayPal"
"General: Withdrawal to Non-Bank Entity","@FIXME: Chung: Rút để phi ngân hàng Entity"
"Get Credentials from PayPal","@FIXME: Nhận Credentials từ PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","@FIXME: Giấy chứng nhận quà tặng thanh toán: mua Giấy chứng nhận quà tặng"
"Gift Certificate Redemption","@FIXME: Giấy chứng nhận quà tặng Redemption"
"Gross Amount","@FIXME: Số tiền Gross"
"Header Background Color","@FIXME: Tiêu đề Background Color"
"Header Border Color","@FIXME: Tiêu đề Border Color"
"Header Image URL","@FIXME: Tiêu đề Image URL"
Help,"@FIXME: giúp"
"Hidden Virtual PayPal Debit Card Transaction","@FIXME: Ẩn ảo giao dịch PayPal Debit Card"
"Hold for Dispute Investigation","@FIXME: Giữ cho tranh chấp tra"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","@FIXME: Nếu rỗng, một giá trị mặc định sẽ được sử dụng.  Tùy chỉnh URL có thể được cung cấp theo thỏa thuận CardinalCommerce."
"If not specified, Default Country from General Config will be used","@FIXME: Nếu không quy định, Default Nước từ chung Config sẽ được sử dụng"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","@FIXME: Nếu tùy chọn này được kích hoạt, khách hàng có thể thay đổi địa chỉ vận chuyển và phương thức vận chuyển trên trang web PayPal.  Trong chế độ làm việc trực tiếp thông qua chỉ giao thức HTTPS."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","@FIXME: Nếu bạn không có nhiều người dùng thiết lập trên tài khoản của bạn, xin vui lòng nhập lại của bạn Đăng bán / Merchant ở đây."
"Impossible to issue a refund transaction because the capture transaction does not exist.","@FIXME: Không thể ban hành một giao dịch hoàn trả bởi vì giao dịch nắm bắt không tồn tại."
Incentive,"@FIXME: khuyến khích"
"Incl. Tax","@FIXME: Incl.  thuế"
"Initiation Date","@FIXME: Ngày bắt đầu"
"Integral Evolution","@FIXME: Sự tiến hóa không thể tách rời"
"Invalid transaction id","@FIXME: Id giao dịch không hợp lệ"
"Invoice ID","@FIXME: ID hóa đơn"
"Invoice #%s created","@FIXME: Hóa đơn # % s tạo"
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","@FIXME: IPN""% s"".  Một tranh chấp đã được giải quyết và đóng cửa.  % s lượng giao dịch % s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","@FIXME: IPN""% s"".  Loại trường hợp""% s"".  Trường hợp ID""% s""% s"
"IPN ""%s"".","@FIXME: IPN""% s""."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","@FIXME: IPN""% s"".  % s lượng giao dịch % s.  ID giao dịch:""% s"""
"IPN verification ""%s"".","@FIXME: IPN xác minh""% s""."
"Issue Number","@FIXME: Số phát hành"
"Issuer Liability","@FIXME: Trách nhiệm tổ chức phát hành"
"Items in Your Shopping Cart","@FIXME: Các đề mục trong Giỏ hàng của bạn"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","@FIXME: Đó là đề nghị để thiết lập giá trị này để""ghi nợ hoặc thẻ tín dụng""mỗi lần xem cửa hàng."
"It is recommended to set this value to ""PayPal"" per store views.","@FIXME: Đó là đề nghị để thiết lập giá trị này để""PayPal""mỗi lần xem cửa hàng."
"Last Correlation ID","@FIXME: Cuối cùng tương quan ID"
"Last Transaction ID","@FIXME: Cuối ID giao dịch"
"Learn More","@FIXME: Tìm hiểu thêm"
Login,"@FIXME: đăng nhập"
"Mass Pay Payment","@FIXME: Khối lượng thanh toán Pay"
MasterCard,"@FIXME: thẻ MasterCard"
"Matched Address only (no ZIP)","@FIXME: Địa chỉ phù hợp duy nhất (không ZIP)"
"Matched Address only (no ZIP). International","@FIXME: Địa chỉ phù hợp duy nhất ( không có bưu điện ).  quốc tế"
"Matched (CVV2CSC)","@FIXME: Phù hợp ( CVV2CSC )"
"Matched (CVV2)","@FIXME: Phù hợp ( CVV2 )"
"Matched five-digit ZIP only (no Address)","@FIXME: Phù hợp với năm chữ số ZIP duy nhất ( không có địa chỉ)"
"Matched Postal Code only (no Address)","@FIXME: Phù hợp Postal Code chỉ ( không có địa chỉ)"
"Matched whole nine-didgit ZIP (no Address)","@FIXME: Phù hợp với toàn bộ chín didgit bưu điện ( không có địa chỉ)"
"Maximum image size is 750x90 px.","@FIXME: Kích thước hình ảnh tối đa là 750x90 px."
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.",@TODO
"Merchant Account","@FIXME: Tài khoản Merchant"
"Merchant account is not verified.","@FIXME: Tài khoản Merchant chưa được xác minh."
"Merchant Country","@FIXME: Merchant Country"
"Merchant denied this pending payment.","@FIXME: Merchant bị từ chối thanh toán cấp phát này."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","@FIXME: Merchant nắm giữ một tài khoản không phải của Mỹ và không có một cơ chế thu hồi."
"Merchant Liability","@FIXME: Merchant trách nhiệm pháp lý"
"Merchant Location","@FIXME: Merchant Location"
"Merchant must upgrade account to Business or Premier status.","@FIXME: Merchant phải nâng cấp tài khoản để kinh doanh hoặc tình trạng Premier."
"Merchant Protection Eligibility","@FIXME: Merchant đủ điều kiện bảo vệ"
"Merchant reference ID format is not supported.","@FIXME: Merchant ID định dạng tài liệu tham khảo không được hỗ trợ."
"Merchant Referral Bonus","@FIXME: Merchant Referral Bonus"
"merchant refunded payment","@FIXME: thương gia thanh toán hoàn trả"
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","@FIXME: Thương cần phải áp dụng cho PayPal cho phép tính năng thỏa thuận thanh toán.  Đừng bật tùy chọn này cho đến khi PayPal khẳng định rằng thỏa thuận thanh toán được kích hoạt cho tài khoản thương gia của bạn."
"Mobile Payment (made via a mobile phone)","@FIXME: Thanh toán di động ( thực hiện thông qua một điện thoại di động )"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","@FIXME: Vấn đề đa tiền tệ.  Merchant phải tự chấp nhận hoặc từ chối thanh toán từ PayPal Account Overview."
"N/A. Address not checked, or acquirer had no response. Service not available","@FIXME: N / A.  Địa chỉ không được chọn, hoặc thâu tóm không có phản ứng.  Dịch vụ không có sẵn"
N/A,"@FIXME: N / A"
"N/A. Global Unavailable","@FIXME: N / A.  Không có sẵn toàn cầu"
"N/A. International Unavailable","@FIXME: N / A.  Không có sẵn quốc tế"
"Name on Card","@FIXME: Tên trên thẻ"
"Name on the Card: %s","@FIXME: Tên trên thẻ: % s"
"N/A. Merchant has indicated that CVV2 is not present on card","@FIXME: N / A.  Merchant đã chỉ ra rằng CVV2 không nằm trên thẻ"
"N/A. No response","@FIXME: N / A.  không có phản ứng"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","@FIXME: N / A.  Không được phép cho MOTO (Internet / Phone) giao dịch"
"N/A. Not processed","@FIXME: N / A.  không phải xử lý"
"N/A. Retry","@FIXME: N / A.  thử lại"
"N/A. Service not available","@FIXME: N / A.  Dịch vụ không có sẵn"
"N/A. Service not supported","@FIXME: N / A.  Dịch vụ không được hỗ trợ"
"N/A. Service not Supported","@FIXME: N / A.  Dịch vụ không được hỗ trợ"
"N/A. The merchant did not provide AVS information","@FIXME: N / A.  Người thương gia đã không cung cấp thông tin AVS"
"N/A. The merchant has not implemented CVV2 code handling","@FIXME: N / A.  Người thương gia đã không được thực hiện CVV2 xử lý mã"
