Action,"Hành động"
"Newsletter subscription confirmation","Xác nhận đăng ký nhận thông báo"
"Newsletter Subscription Form Before","@FIXME: Mẫu đăng ký nhận bản tin Trước"
"Newsletter Subscription",Newsletter
"Newsletter Subscriptions",Newsletter
"Newsletter subscription success","Đăng ký nhận thông báo thành công"
"Newsletter Templates","Các mẫu thông báo"
Newsletter,"Bản tin Điện tử"
"Newsletter unsubscription success","Bỏ đăng ký nhận thông báo thành công"
"New Template","Mẫu mới"
"No problems found.","@FIXME: Không có vấn đề được tìm thấy."
"No problems found","Không tìm thấy lỗi"
"No subscribers selected.","Không có người nhận nào được chọn."
"No subscribers selected","Không có người nhận nào được chọn"
"Not activated","Chưa kích hoạt"
"Not Activated","Chưa kích hoạt"
"No Templates Found","Không tìm thấy mẫu nào"
"Not Sent","Chưa gửi"
Paused,"Đã tạm dừng"
Pause,"Tạm dừng"
"Please enter a valid email address.","Vui lòng nhập địa chỉ email có thực."
"Please enter a valid email address","Vui lòng nhập địa chỉ email có thực"
"Please enter new template name","Vui lòng nhập tên mẫu mới"
"Please refer to exeption.log","@FIXME: Vui lòng tham khảo exeption.log"
"Please select subscriber(s)","Vui lòng lựa chọn người nhận"
"Preview Template","Xem thử mẫu"
Preview,"Xem thử"
Processed,"Đã thực hiện"
"Queue Date Start","Xếp hàng đến ngày bắt đầu"
"Queue Finish","Xếp hàng kết thúc"
"Queue Information","Thông tin xếp hàng"
"Queue Newsletter...","@FIXME: Queue Bản tin..."
"Queue Newsletter","Thông báo xếp hàng"
"Queue Start","Xếp hàng bắt đầu"
"Queue Subject","Chủ đề xếp hàng"
Recipients,"Người nhận"
Reset,"Làm lại"
Resume,"Lại tiếp tục"
"Return HTML Version","@FIXME: Trở HTML Version"
"Return Html Version","Quay lại phiên bản Html"
"Save and Resume","@FIXME: Lưu và Tiếp tục"
"Save And Resume","Lưu và lại tiếp tục"
"Save As","Lưu ở dạng"
"Save Newsletter","Lưu thông báo"
"Save Template","Lưu mẫu"
"Selected problems have been deleted.","@FIXME: Các vấn đề được lựa chọn đã bị xóa."
"Selected problems successfully deleted","Vấn đề đã chọn đã xóa thành công"
"Selected problem subscribers have been unsubscribed.","@FIXME: Thuê bao vấn đề được lựa chọn đã được hủy đăng ký."
"Selected problem subscribers successfully unsubscribed","Đã lựa chọn người nhận có vấn đề thành công"
"Sender Email","Email người gửi"
"Sender Name","Tên người gửi"
Sender,"Người gửi"
Sending,"Đang gửi"
"Sending Options","Các lựa chọn để gửi"
Sent,"Đã gửi"
"Set Return-Path","Đặt đường quay lại"
"Sign me up","@FIXME: Tôi đăng ký"
"Sign up for our newsletter:","@FIXME: Đăng ký nhận bản tin của chúng tôi:"
"Sign up for our newsletter","@FIXME: Đăng ký nhận bản tin của chúng tôi"
"Sign Up for Our Newsletter:","@FIXME: Đăng ký nhận bản tin của chúng tôi:"
"Sign up for our newsletter from HALOBUY","Đăng ký nhận tin từ HALOBUY"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","@FIXME: Xin lỗi, nhưng quản trị viên từ chối đăng ký cho khách.  Hãy u003ca href=""%s""u003e đăng ký u003c/au003e."
Start,"Bắt đầu"
Status,"Trạng thái"
Store,"Cửa hàng"
"Store View","Không gian Cửa hàng"
Subject,"Chủ đề"
Submit,Gửi
Subscribed,"Đã đăng ký"
Subscribe,"Đăng ký nhận"
Subscriber,"Người đăng ký"
"Subscribers From","Người đăng ký từ"
Subscribers,"Người đăng ký"
"Subscription Options","Các lựa chọn đăng ký"
"Success Email Sender","Email người gửi thành công"
"Success Email Template","Mẫu Email thành công"
"Template Content","Nội dung mẫu"
"Template Information","Thông tin mẫu"
"Template Name","Tên mẫu"
"Template Styles","Kiểu mẫu"
"Template Subject","Mẫu chủ đề"
"Template Type","Loại mẫu"
"Thank you for your subscription.","Cảm ơn bạn đã đăng ký."
"Thank you for your subscription","Cảm ơn bạn đã đăng ký"
"There was an error while saving your subscription","Có vấn đề khi lưu đăng ký của bạn"
"There was a problem with the subscription","Có vấn đề với sự đăng ký"
"There was a problem with the subscription.","@FIXME: Có một vấn đề với các thuê bao."
"There was a problem with the subscription: %s","Có vấn đề với sự đăng ký: %s"
"There was a problem with the un-subscription.","Có vấn để với sự bỏ đăng ký."
"The subscription has been removed.","@FIXME: Các thuê bao đã được gỡ bỏ."
"The subscription has been saved.","Đăng ký nhận thư cập nhật thàng công."
"The subscription was successfully saved","Đăng ký lưu thành công"
"This email address is already assigned to another user.","Địa chỉ email này đã được giao cho người dùng khác."
"Toggle Editor","Người chỉnh chốt"
Type,Loại
Unconfirmed,"Chưa xác nhận"
Unsubscribe,"Bỏ đăng ký"
Unsubscribed,"Đã bỏ đăng ký"
"Unsubscribe Selected","Bỏ đăng ký đã chọn"
"Unsubscription Email Sender","Bỏ đăng ký người gửi email"
"Unsubscription Email Template","Bỏ đăng ký mẫu Email"
"View Newsletter","Xem thông báo"
"You have been successfully unsubscribed.","Bạn đã bỏ đăng ký thành công."
"You have been unsubscribed.","Bạn đã từ chối đăng ký nhận tin thành công."
"Your subscription has been confirmed.","@FIXME: Đăng ký của bạn đã được xác nhận."
"Your subscription was successfully confirmed","Đăng ký của bạn đã xác thực thành công."
