,"@FIXME: "
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tất cả các sản phẩm của nhóm này sẽ được xóa! Quý khách có chắc chắn muốn xóa nhóm thuộc tính này?"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tất cả các sản phẩm của nhóm này sẽ được xóa! Quý khách có chắc chắn muốn xóa nhóm thuộc tính này?"
"All products - recently added products, New products - products marked as new","@FIXME: Tất cả các sản phẩm - sản phẩm được thêm gần đây, sản phẩm mới - sản phẩm đánh dấu là mới"
"All Product Types","Tất Cả Loại Sản Phẩm"
"All Product Types","Tất Cả Loại Sản Phẩm"
"All Product Types","Tất Cả Loại Sản Phẩm"
All,"Tất cả"
"All Websites","Tất cả các website"
"All Websites","Tất cả các website"
AM,Sáng
Amount,"Tổng Số"
Amount,"Tổng Số"
AM,Sáng
"A name is required","Yêu cầu nhập tên"
"A name is required","Yêu cầu nhập tên"
"A name is required","Yêu cầu nhập tên"
"Anchor Custom Text","Văn bản tùy chỉnh mẩu neo"
"Anchor Custom Text","Văn bản tùy chỉnh mẩu neo"
"Anchor Custom Title","Tiêu đề tùy chỉnh mẩu neo"
"Anchor Custom Title","Tiêu đề tùy chỉnh mẩu neo"
"and above","và bên trên"
"and above","và bên trên"
and,và
and,và
"An error occurred while adding products to websites.","Lỗi trong khi thêm các sản phẩm vào các website."
"An error occurred while adding products to websites.","Lỗi trong khi thêm các sản phẩm vào các website."
"An error occurred while clearing comparison list.","Lỗi trong khi xóa danh sách so sánh."
"An error occurred while clearing comparison list.","Lỗi trong khi xóa danh sách so sánh."
"An error occurred while deleting this review.","Lỗi trong khi xóa nhận xét này."
"An error occurred while deleting this review.","Lỗi trong khi xóa nhận xét này."
"An error occurred while removing products from websites.","Lỗi trong khi loại các sản phẩm khỏi các website."
"An error occurred while removing products from websites.","Lỗi trong khi loại các sản phẩm khỏi các website."
"An error occurred while saving the attribute set.","Lỗi trong khi lưu các nhóm thuộc tính."
"An error occurred while saving the attribute set.","Lỗi trong khi lưu các nhóm thuộc tính."
"An error occurred while saving the collection, aborting. Error message: %s","Lỗi trong khi lưu các tập hợp, hủy bỏ. Thông báo lỗi: %s"
"An error occurred while saving the collection, aborting. Error message: %s","Lỗi trong khi lưu các tập hợp, hủy bỏ. Thông báo lỗi: %s"
"An error occurred while saving the product. ","Lỗi trong khi lưu sản phẩm. "
"An error occurred while saving the product. ","Lỗi trong khi lưu sản phẩm. "
"An error occurred while saving the search query.","Lỗi trong khi lưu truy vấn tìm kiếm."
"An error occurred while saving the search query.","Lỗi trong khi lưu truy vấn tìm kiếm."
"An error occurred while saving the URL rewrite","Lỗi trong khi lưu các sao chép URL"
"An error occurred while saving the URL rewrite","Lỗi trong khi lưu các sao chép URL"
"An error occurred while saving this group.","Lỗi trong khi lưu nhóm này."
"An error occurred while saving this group.","Lỗi trong khi lưu nhóm này."
"An error occurred while saving this review.","Lỗi trong khi lưu nhận xét này."
"An error occurred while saving this review.","Lỗi trong khi lưu nhận xét này."
"An error occurred while trying to delete the category.","Lỗi trong khi cố gắng xóa nhóm sản phẩm."
"An error occurred while trying to delete the category.","Lỗi trong khi cố gắng xóa nhóm sản phẩm."
"An error occurred while updating the product(s) attributes.","Lỗi trong khi cập nhật các thuộc tính (các) sản phẩm."
"An error occurred while updating the product(s) attributes.","Lỗi trong khi cập nhật các thuộc tính (các) sản phẩm."
"An error occurred while updating the product(s) status.","Lỗi trong khi cập nhật trạng thái (các) sản phẩm."
"An error occurred while updating the product(s) status.","Lỗi trong khi cập nhật trạng thái (các) sản phẩm."
"An invalid group ID is specified, skipping the record.","ID nhóm được xác định không hợp lệ, bỏ qua bản ghi."
"An invalid group ID is specified, skipping the record.","ID nhóm được xác định không hợp lệ, bỏ qua bản ghi."
"An invalid option ID is specified for %s (%s), skipping the record.","ID tùy chọn được xác định cho %s (%s) không hợp lệ, bỏ qua bản ghi."
"An invalid option ID is specified for %s (%s), skipping the record.","ID tùy chọn được xác định cho %s (%s) không hợp lệ, bỏ qua bản ghi."
"An invalid store was specified.","Cửa hàng được xác định không hợp lệ."
"An invalid store was specified.","Cửa hàng được xác định không hợp lệ."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Chỉ áp dụng cho danh mục các sản phẩm và các nhóm sản phẩm. Bất kỳ nội dung truyền thông nào sẽ được chèn vào trình soạn thảo như URL tĩnh. Nó không được cập nhật nếu cấu hình hệ thống dựa trên các thay đổi URL."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Chỉ áp dụng cho danh mục các sản phẩm và các nhóm sản phẩm. Bất kỳ nội dung truyền thông nào sẽ được chèn vào trình soạn thảo như URL tĩnh. Nó không được cập nhật nếu cấu hình hệ thống dựa trên các thay đổi URL."
"Apply MAP (Default Value)","Áp dụng MAP (Giá trị mặc định)"
"Apply MAP (Default Value)","Áp dụng MAP (Giá trị mặc định)"
"Apply To","Áp dụng vào"
"Apply To","Áp dụng vào"
"Apply To","Áp dụng vào"
"Apply To Configurable/Grouped Product","Áp Dụng Cho Sản Phẩm Loại Configurable/Grouped"
Approved,"Được duyệt"
Approved,"Được duyệt"
Approved,"Được duyệt"
"A product type is not defined for the indexer.","Loại sản phẩm không được xác định cho chỉ mục."
"A product type is not defined for the indexer.","Loại sản phẩm không được xác định cho chỉ mục."
"Are you sure?","Quý khách có chắc chắn không?"
"Are you sure?","Quý khách có chắc chắn không?"
"Are you sure?","Quý khách có chắc chắn không?"
"Are you sure you want to delete this category?","Quý khách có muốn xóa nhóm sản phẩm này?"
"Are you sure you want to delete this category?","Quý khách có muốn xóa nhóm sản phẩm này?"
"Are you sure you want to delete this category?","Quý khách có muốn xóa nhóm sản phẩm này?"
"Are you sure you would like to remove all products from your comparison?","Quý khách có muốn loại bỏ tất cả các mặt hàng này khỏi các sản phẩm so sánh?"
"Are you sure you would like to remove all products from your comparison?","Quý khách có muốn loại bỏ tất cả các mặt hàng này khỏi các sản phẩm so sánh?"
"Are you sure you would like to remove all products from your comparison?","Quý khách có muốn loại bỏ tất cả các mặt hàng này khỏi các sản phẩm so sánh?"
"Are you sure you would like to remove this item from the compare products?","Quý khách có muốn loại bỏ mặt hàng này khỏi các sản phẩm so sánh?"
"Are you sure you would like to remove this item from the compare products?","Quý khách có muốn loại bỏ mặt hàng này khỏi các sản phẩm so sánh?"
"Are you sure you would like to remove this item from the compare products?","Quý khách có muốn loại bỏ mặt hàng này khỏi các sản phẩm so sánh?"
"As low as:","Thấp nhất là:"
"As low as:","Thấp nhất là:"
Assign,Gán
"Assigned Products","Sản phẩm đã chọn"
"Assigned Products","Sản phẩm đã chọn"
"Assigned Products","Sản phẩm đã chọn"
Assign,Gán
Assign,Gán
"Assign product link","Gán link Của Sản Phẩm"
"Assign product link","Gán link Của Sản Phẩm"
"Assign product link","Gán link Của Sản Phẩm"
"Assign product to category","Gán sản phẩm Vào danh mục"
"Assign product to category","Gán sản phẩm Vào danh mục"
"Assign product to category","Gán sản phẩm Vào danh mục"
"Associated Products","Các sản phẩm được gán"
"Associated Products","Các sản phẩm được gán"
"Attrib. Set Name","Tên nhóm thuộc tính"
"Attrib. Set Name","Tên nhóm thuộc tính"
"Attrib. Set Name","Tên nhóm thuộc tính"
"Attribute add","Thuộc tính thêm"
"Attribute add","Thuộc tính thêm"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Mã thuộc tính không hợp lệ. Xin chỉ sử dụng các chữ (a-z), các số (0-9) or gạch dưới(_) trong trường này, ký tự bắt đầu nên là chữ."
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Mã thuộc tính không hợp lệ. Xin chỉ sử dụng các chữ (a-z), các số (0-9) or gạch dưới(_) trong trường này, ký tự bắt đầu nên là chữ."
"Attribute Code","Mã Thuộc Tính"
"Attribute group with the ""/name/"" name already exists","@FIXME: Thuộc tính nhóm với ""/ tên / ""tên đã tồn tại"
"Attribute group with the \/name/\ name already exists","@FIXME: Thuộc tính nhóm với \ / tên / \ tên đã tồn tại"
"Attribute group with the \"/name/\" name already exists","Nhóm thuộc tính có tên \"/name/\" đã được sử dụng"
"Attribute group with the \"/name/\" name already exists","Nhóm thuộc tính có tên \"/name/\" đã được sử dụng"
"Attribute Information","Thông tin thuộc tính"
"Attribute Information","Thông tin thuộc tính"
"Attribute Information","Thông tin thuộc tính"
"Attribute Label","@FIXME: Thuộc tính Label"
"Attribute Model","Mô hình thuộc tính"
"Attribute Model","Mô hình thuộc tính"
"Attribute model not defined","@FIXME: Mô hình thuộc tính không được định nghĩa"
"Attribute Name:","Tên thuộc tính:"
"Attribute Name:","Tên thuộc tính:"
"Attribute Properties","@FIXME: Thuộc tính Thuộc tính"
"Attribute remove","Loại bỏ thuộc tính"
"Attribute remove","Loại bỏ thuộc tính"
Attributes,"Các thuộc tính"
Attributes,"Các thuộc tính"
"Attribute Set","Nhóm thuộc tính"
"Attribute Set","Nhóm thuộc tính"
"Attribute Sets","Các nhóm thuộc tính"
"Attribute Sets","Các nhóm thuộc tính"
"Attribute ""%s"" is invalid.","Thuộc tính ""%s"" không hợp lệ."
"Attribute ""%s"" is invalid.","Thuộc tính ""%s"" không hợp lệ."
"Attribute ""%s"" is required.","Thuộc tính ""%s"" bắt buộc phải nhập."
"Attribute ""%s"" is required.","Thuộc tính ""%s"" bắt buộc phải nhập."
"Attribute with the same code already exists","Mã thuộc tính đã được sử dụng"
"Attribute with the same code already exists","Mã thuộc tính đã được sử dụng"
"Attrribute names can be specified per store.","Các tên thuộc tính có thể được phân biệt theo cửa hàng."
"Attrribute names can be specified per store.","Các tên thuộc tính có thể được phân biệt theo cửa hàng."
Autogenerate,"Tự động tạo ra"
Autogenerate,"Tự động tạo ra"
Availability:,"Trạng thái:"
Availability,"@FIXME: sẵn có"
"Availability: In stock.","@FIXME: Sẵn có: Trong chứng khoán."
"Availability: Out of stock.","@FIXME: Tình trạng: Hết hàng."
Availability:,"Trạng thái:"
Back,"Quay lại"
"Backend Model","Mô hình giao diện quản trị"
"Backend Model","Mô hình giao diện quản trị"
"Backend Table","Bảng giao diện quản trị"
"Backend Table","Bảng giao diện quản trị"
"Backend Table Title","Tiêu đề bảng giao diện quản trị"
"Backend Table Title","Tiêu đề bảng giao diện quản trị"
Backorders,"Các đơn hàng tồn đọng"
Backorders,"Các đơn hàng tồn đọng"
Back,"Quay lại"
"Base directory to upload image file is not specified","@FIXME: Thư mục cơ sở để tải lên tập tin ảnh không được chỉ định"
"Based On","Được dựa trên"
"Based On","Được dựa trên"
"Before Order Confirmation","Trước khi xác nhận đặt hàng"
"Before Order Confirmation","Trước khi xác nhận đặt hàng"
"Best Value","Giá trị tốt nhất"
"Best Value","Giá trị tốt nhất"
"Block after Info Column","Khối sau cột thông tin"
"Block after Info Column","Khối sau cột thông tin"
"Bottom Block Options Wrapper","Gói các tùy chọn khối chân"
"Bottom Block Options Wrapper","Gói các tùy chọn khối chân"
Bottom/Left,Dưới/Trái
Bottom/Left,Dưới/Trái
Bottom/Right,Dưới/Phải
Bottom/Right,Dưới/Phải
"Browse By","Duyệt theo"
"Browse By","Duyệt theo"
"Bundle Items","Các mặt hàng đóng gói"
"Bundle Items","Các mặt hàng đóng gói"
"Buy %1$s","Mua %1$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mua %1$s cho mỗi %2$s (đã bao gồm thuế %3$s)"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mua %1$s cho mỗi %2$s (đã bao gồm thuế %3$s)"
"Buy %1$s for %2$s","Mua %1$s cho %2$s"
"Buy %1$s for %2$s each","Mua %1$s cho mỗi %2$s"
"Buy %1$s for %2$s each","Mua %1$s cho mỗi %2$s"
"Buy %1$s for %2$s","Mua %1$s cho %2$s"
"Buy %1$s for","Mua %1$s cho"
"Buy %1$s for","Mua %1$s cho"
"Buy %1$s","Mua %1$s"
"Cache Lifetime (Seconds)","Bộ nhớ đệm chu kỳ (giây)"
"Cache Lifetime (Seconds)","Bộ nhớ đệm chu kỳ (giây)"
"cache refresh needed","@FIXME: bộ nhớ cache làm mới cần thiết"
"Cache refresh needed.","Cần làm mới bộ nhớ đệm."
"Cache refresh needed.","Cần làm mới bộ nhớ đệm."
"Can be Divided into Multiple Boxes for Shipping","Có thể chia thành nhiều hộp để giao vận"
"Can be Divided into Multiple Boxes for Shipping","Có thể chia thành nhiều hộp để giao vận"
"Can be used only with catalog input type Dropdown","Chỉ có thể sử dụng cho loại đầu vào danh mục thả xuống"
"Can be used only with catalog input type Dropdown","Chỉ có thể sử dụng cho loại đầu vào danh mục thả xuống"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Chỉ có thể sử dụng cho loại đầu vào danh mục thả xuống, tùy chọn nhiều đối tượng và giá cả"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Chỉ có thể sử dụng cho loại đầu vào danh mục thả xuống, tùy chọn nhiều đối tượng và giá cả"
Cancel,"Hủy bỏ"
Cancel,"Hủy bỏ"
"Cannot create image.","Không tạo được hình ảnh."
"Cannot create image.","Không tạo được hình ảnh."
"Cannot create writeable directory '%s'.","Không tạo được thư mục cho phép ghi '%s'."
"Cannot create writeable directory '%s'",@TODO
"Cannot create writeable directory '%s'.","Không tạo được thư mục cho phép ghi '%s'."
"Can't create image.",@TODO
"Can\'t create image.","Không tạo được hình ảnh."
"Can\'t create image.","Không tạo được hình ảnh."
"Cart Item Attribute","Thuộc tính mặt hàng giỏ hàng"
"Cart Item Attribute","Thuộc tính mặt hàng giỏ hàng"
Catalog,"Danh mục"
"Catalog Category (Anchor)","Danh mục nhóm sản phẩm (mẩu neo)"
"Catalog Category (Anchor)","Danh mục nhóm sản phẩm (mẩu neo)"
"Catalog Category Link","Liên kết danh mục nhóm sản phẩm"
"Catalog Category Link","Liên kết danh mục nhóm sản phẩm"
"Catalog Category (Non-Anchor)","Danh mục nhóm sản phẩm (không mẩu neo)"
"Catalog Category (Non-Anchor)","Danh mục nhóm sản phẩm (không mẩu neo)"
"Catalog Category (Without Subcategories)","Danh mục nhóm sản phẩm (không có nhóm sản phẩm con)"
"Catalog Category (Without Subcategories)","Danh mục nhóm sản phẩm (không có nhóm sản phẩm con)"
Catalog,"Danh mục"
"Catalog Input Type for Store Owner","@FIXME: Danh mục Loại đầu vào cho cửa hàng chủ"
"Catalog New Products List","Danh mục danh sách các sản phẩm mới"
"Catalog New Products List","Danh mục danh sách các sản phẩm mới"
"Catalog Price Scope","Danh mục phạm vi giá"
"Catalog Price Scope","Danh mục phạm vi giá"
"Catalog Product Compare List","Danh mục danh sách so sánh sản phẩm"
"Catalog Product Compare List","Danh mục danh sách so sánh sản phẩm"
"Catalog product custom options API","Danh mục API các tùy chọn tùy chỉnh sản phẩm"
"Catalog product custom options API","Danh mục API các tùy chọn tùy chỉnh sản phẩm"
"Catalog product custom option values API","Danh mục API các giá trị tùy chọn tùy chỉnh sản phẩm"
"Catalog product custom option values API","Danh mục API các giá trị tùy chọn tùy chỉnh sản phẩm"
"Catalog Product Email to a Friend","Gửi thư điện tử danh mục sản phẩm tới bạn bè"
"Catalog Product Email to a Friend","Gửi thư điện tử danh mục sản phẩm tới bạn bè"
"Catalog Product Image Gallery Popup","Danh mục popup tập hợp hình ảnh sản phẩm"
"Catalog Product Image Gallery Popup","Danh mục popup tập hợp hình ảnh sản phẩm"
"Catalog Product Link","Danh mục liên kết sản phẩm"
"Catalog Product Link","Danh mục liên kết sản phẩm"
"Catalog Product View (Any)","Danh mục xem sản phẩm (bất kỳ)"
"Catalog Product View (Any)","Danh mục xem sản phẩm (bất kỳ)"
"Catalog Product View (Configurable)","Danh mục xem sản phẩm (cấu hình)"
"Catalog Product View (Configurable)","Danh mục xem sản phẩm (cấu hình)"
"Catalog Product View (Grouped)","Danh mục xem sản phẩm (phân nhóm)"
"Catalog Product View (Grouped)","Danh mục xem sản phẩm (phân nhóm)"
"Catalog Product View (Simple)","Danh mục xem sản phẩm (đơn giản)"
"Catalog Product View (Simple)","Danh mục xem sản phẩm (đơn giản)"
"Catalog Product View (Virtual)","Danh mục xem sản phẩm (ảo)"
"Catalog Product View (Virtual)","Danh mục xem sản phẩm (ảo)"
"Catalog, Search","Danh mục, Tìm kiếm"
"Catalog, Search","Danh mục, Tìm kiếm"
"Catalog Section","Khu vực danh mục"
"Catalog Section","Khu vực danh mục"
"Catalog Seo Sitemap (Category List)","Danh mục sitemap SEO (danh sách nhóm sản phẩm)"
"Catalog Seo Sitemap (Category List)","Danh mục sitemap SEO (danh sách nhóm sản phẩm)"
"Catalog Seo Sitemap (Category Tree)","Danh mục sitemap SEO (cây nhóm sản phẩm)"
"Catalog Seo Sitemap (Category Tree)","Danh mục sitemap SEO (cây nhóm sản phẩm)"
"Catalog Seo Sitemap (Common)","Danh mục sitemap SEO (chung)"
"Catalog Seo Sitemap (Common)","Danh mục sitemap SEO (chung)"
"Catalog Seo Sitemap (Product List)","Catalog sitemap SEO (Product List)"
"Catalog Seo Sitemap (Product List)","Catalog sitemap SEO (Product List)"
"Catalog URL Rewrites","Danh mục sao chép URL"
"Catalog URL Rewrites","Danh mục sao chép URL"
categories,"các nhóm sản phẩm"
Categories,"Các nhóm sản phẩm"
categories,"các nhóm sản phẩm"
Categories,"Các nhóm sản phẩm"
"Categories Sitemap","Sitemap các nhóm sản phẩm"
"Categories Sitemap","Sitemap các nhóm sản phẩm"
"Category API","API nhóm sản phẩm"
"Category API","API nhóm sản phẩm"
"Category attributes API","API các thuộc tính nhóm sản phẩm"
"Category attributes API","API các thuộc tính nhóm sản phẩm"
Category,"Nhóm sản phẩm"
"Category Data","Dữ liệu nhóm sản phẩm"
"Category Data","Dữ liệu nhóm sản phẩm"
"Category deleted","@FIXME: Danh mục đã bị xóa"
"Category delete error","@FIXME: Danh mục lỗi xóa"
"Category Flat Data","Dữ liệu phẳng nhóm sản phẩm"
"Category Flat Data","Dữ liệu phẳng nhóm sản phẩm"
"Category Link Block Template","Mẫu khối liên kết nhóm sản phẩm"
"Category Link Block Template","Mẫu khối liên kết nhóm sản phẩm"
"Category Link Inline Template","Mẫu nội tuyến liên kết nhóm sản phẩm"
"Category Link Inline Template","Mẫu nội tuyến liên kết nhóm sản phẩm"
"Category move error","Lỗi di chuyển nhóm sản phẩm"
"Category move error","Lỗi di chuyển nhóm sản phẩm"
"Category move error %s",@TODO
"Category move operation is not possible: parent category is equal to child category.","Không thể thực hiện di chuyển nhóm sản phẩm: nhóm gốc bằng nhóm con."
"Category move operation is not possible: parent category is equal to child category.","Không thể thực hiện di chuyển nhóm sản phẩm: nhóm gốc bằng nhóm con."
"Category move operation is not possible: the current category was not found.","Không thể thực hiện di chuyển nhóm sản phẩm: không tìm thấy nhóm hiện tại."
"Category move operation is not possible: the current category was not found.","Không thể thực hiện di chuyển nhóm sản phẩm: không tìm thấy nhóm hiện tại."
"Category move operation is not possible: the new parent category was not found.","Không thể thực hiện di chuyển nhóm sản phẩm: không tìm thấy nhóm gốc mới."
"Category move operation is not possible: the new parent category was not found.","Không thể thực hiện di chuyển nhóm sản phẩm: không tìm thấy nhóm gốc mới."
"Category must be an instance of Mage_Catalog_Model_Category.","Nhóm sản phẩm phải thể hiện của Mage_Catalog_Model_Category."
"Category must be an instance of Mage_Catalog_Model_Category.","Nhóm sản phẩm phải thể hiện của Mage_Catalog_Model_Category."
"Category must be instance of Mage_Catalog_Model_Category","@FIXME: Danh mục phải thể hiện của Mage_Catalog_Model_Category"
"Category Navigation:","@FIXME: Category Navigation:"
Category,"Nhóm sản phẩm"
"Category Products","Các nhóm sản phẩm"
"Category Products","Các nhóm sản phẩm"
"Category saved","@FIXME: Danh mục lưu"
"Category Top Navigation","Điều hướng đầu nhóm sản phẩm"
"Category Top Navigation","Điều hướng đầu nhóm sản phẩm"
"Category URL Suffix","Hậu tố URL nhóm sản phẩm"
"Category URL Suffix","Hậu tố URL nhóm sản phẩm"
Center,Giữa
Center,Giữa
Change,"Thay đổi"
"Change or Retrieve attribute store view","Thay đổi hoặc nhận thuộc tính không gian cửa hàng"
"Change or Retrieve attribute store view","Thay đổi hoặc nhận thuộc tính không gian cửa hàng"
"Change status","Trạng thái thay đổi"
"Change status","Trạng thái thay đổi"
Change,"Thay đổi"
"Check items to add to the cart or","Kiểm tra các mặt hàng được thêm vào giỏ hàng hoặc"
"Check items to add to the cart or","Kiểm tra các mặt hàng được thêm vào giỏ hàng hoặc"
"Choose an Option...","Chọn một tùy chọn..."
"Choose an Option...","Chọn một tùy chọn..."
"Choose option...","@FIXME: Chọn tùy chọn..."
"Clear All","Xóa hết"
"Clear All Items","@FIXME: Xóa tất cả các mục"
"Clear All","Xóa hết"
"Clear Price","Xóa giá"
"Clear Price","Xóa giá"
"Click for price","nhấn vào đây cho giá"
"Click for price","nhấn vào đây cho giá"
"Close Window","Đóng cửa sổ trình duyệt"
"Close Window","Đóng cửa sổ trình duyệt"
"Collapse All","@FIXME: Thu gọn tất cả"
"Collapse All","@FIXME: Thu gọn tất cả"
"comma separated","@FIXME: dấu phẩy"
Comma-separated.,"Tách bởi dấy phảy."
Comma-separated.,"Tách bởi dấy phảy."
Comparable,"So sánh"
"Comparable on Front-end","So sánh trên giao diện khách hàng"
"Comparable on Front-end","So sánh trên giao diện khách hàng"
"Comparable on the Frontend","So sánh trên giao diện khách hàng"
"Comparable on the Frontend","So sánh trên giao diện khách hàng"
Comparable,"So sánh"
Compare,"So sánh"
"Compare Items","@FIXME: so sánh Mặt hàng"
"Compare list successfully cleared","@FIXME: So sánh danh sách xóa thành công"
"Compare Products","So sánh các sản phẩm"
"Compare Products (%d)",@TODO
"Compare Products - %d Items",@TODO
"Compare Products List","@FIXME: So sánh sản phẩm Danh sách"
"Compare Products","So sánh các sản phẩm"
Compare,"So sánh"
"Conditions Combination","Điều kiện kết hợp"
"Conditions Combination","Điều kiện kết hợp"
"Configurable Product","Sản phẩm cấu hình"
"Configurable Product","Sản phẩm cấu hình"
