"12h AM/PM","12g Sáng/Chiều"
"All Cache","Tất cả các bộ nhớ đệm"
"All countries","Tất cả các quốc gia"
"All fields","Tất cả các trường"
"All Files","Tất cả các tập tin"
"All possible rates were fetched, click on ""Save"" to apply","@FIXME: Tất cả giá có thể được tải xuống, nhấp chuột vào""Save""để áp dụng"
"All possible rates were fetched, please click on ""Save"" to apply","Tất cả các tỷ giá có thể được tải xuống, bấm 'Lưu' để tải xuống"
"All rates were fetched, click on ""Save"" to apply","@FIXME: Tất cả giá đã tải xuống, nhấp chuột vào""Save""để áp dụng"
"All rates were fetched, please click on ""Save"" to apply","Tất cả các tỷ giá có thể được tải xuống, bấm 'Lưu' để tải xuống"
"All Reviews","Tất cả các nhận xét"
"All Store Views","Tất cả không gian cửa hàng"
"All Tags","Tất cả các thẻ"
All,"Tất cả"
"All valid rates have been saved.","@FIXME: Tất cả giá trị đã được lưu."
"All valid rates have been saved.""Tất cả các tỷ giá hợp lệ được lưu thành công.","@FIXME: Tất cả giá trị đã được lưu.""All the Tỷ giá Invalid stored successfully."
"All valid rates successfully saved","@FIXME: Tất cả giá trị lưu thành công"
"All Websites","Tất cả các website"
"Always (during development)","Luôn luôn (trong quá trình phát triển)"
Amounts,"Số tiền"
" and go to the "," và đi đến "
" and "," và "
"An error has occured while syncronizing media storages.","Lỗi trong khi đồng bộ các kho lưu trữ truyền thông."
"An error occurred while clearing the image cache.","Lỗi trong khi xóa bộ nhớ đệm hình ảnh."
"An error occurred while clearing the JavaScript/CSS cache.","Lỗi trong khi xóa bộ nhớ đệm JavaScript/CSS."
"An error occurred while deleting email template data. Please review log and try again.","Lỗi trong khi xóa dữ liệu mẫu thư điện tử. Xin xem ""log"" và thử lại"
"An error occurred while deleting record(s).","Lỗi trong khi xóa (các) bản ghi."
"An error occurred while deleting this role.","Lỗi trong khi xóa vai trò này."
"An error occurred while deleting this set.","Lỗi trong khi xóa thiết lập này."
"An error occurred while deleting this template.","Lỗi trong khi xóa mẫu này."
"An error occurred while deleting URL Rewrite.","Lỗi trong khi xóa sao chép URL."
"An error occurred while finishing process. Please refresh the cache","Lỗi trong khi quá trình hoàn tất. Xin làm mới bộ nhớ đệm"
"An error occurred while rebuilding the catalog index.","Lỗi trong khi xây dựng lại chỉ mục danh mục sản phẩm."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Lỗi trong khi xây dựng lại trạng thái danh mục sản phẩm tồn kho."
"An error occurred while rebuilding the flat catalog category.","Lỗi trong khi xây dựng lại danh mục nhóm sản phẩm phẳng."
"An error occurred while rebuilding the flat product catalog.","Lỗi trong khi xây dựng lại danh mục sản phẩm phẳng."
"An error occurred while rebuilding the search index.","Lỗi trong khi xây dựng lại chỉ mục tìm kiếm."
"An error occurred while refreshing the catalog rewrites.","Lỗi trong khi làm mới sao chép danh mục sản phẩm."
"An error occurred while refreshing the Catalog Rewrites.","Lỗi trong khi làm mới sao chép danh mục sản phẩm."
"An error occurred while refreshing the layered navigation indices.","Lỗi trong khi làm mới chỉ mục điều hướng phân lớp."
"An error occurred while refreshing the Layered Navigation indices.","Lỗi trong khi làm mới chỉ mục điều hướng phân lớp."
"An error occurred while saving account.","Lỗi trong khi lưu tài khoản."
"An error occurred while saving review.","Lỗi trong khi lưu nhận xét."
"An error occurred while saving the customer.","Lỗi trong khi lưu khách hàng."
"An error occurred while saving this configuration:","Lỗi trong khi lưu cấu hình này:"
"An error occurred while saving this role.","Lỗi trong khi lưu vai trò này."
"An error occurred while saving this template.","Lỗi trong khi lưu mẫu này."
"An error occurred while saving URL Rewrite.","Lỗi trong khi lưu sao chép URL."
"An error occurred while updating the selected review(s).","Lỗi trong khi cập nhật (các) nhận xét được chọn."
"A new password was sent to your email address. Please check your email and click Back to Login.","@FIXME: Một mật khẩu mới đã được gửi đến địa chỉ email của bạn.  Hãy kiểm tra email của bạn và nhấp vào Quay lại để đăng nhập."
"Any Attribute Set","Bất kỳ nhóm thuộc tính nào"
Any,"Bất kỳ"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Mọi dữ liệu được tạo ra kể từ khi sao lưu đã được thực hiện sẽ bị mất bao gồm cả người sử dụng quản trị, khách hàng và đơn đặt hàng."
"Any Group","Bất kỳ nhóm nào"
"Any Status","Bất kỳ trạng thái nào"
"Any Store","Bất kỳ cửa hàng nào"
"Any Type","Bất kỳ loại nào"
"Any Visibility","Bất kỳ khả năng hiển thị nào"
"Api Key Confirmation","@FIXME: Api nhận Key"
"API Key Confirmation","Xác nhận khóa API"
"Api Key","@FIXME: api Key"
"API Key","Khóa API"
"API Stability","@FIXME: API ổn định"
API:,@TODO
"API Version","@FIXME: API Version"
"Archive file name:","Tên tập tin lưu trữ:"
Area,"Khu vực"
"Are you sure that you want to delete this template?","Quý khách có chắc chắn muốn xóa mẫu này?"
"Are you sure that you want to strip tags?","Quý khách có chắc chắn muốn gỡ các thẻ này?"
"Are you sure you want to do this?","Quý khách có chắc chắn muốn làm điều này?"
"Are you sure you want to proceed?","Quý khách có chắc chắn muốn tiếp tục?"
"Are you sure you wish to INSTALL all selected packages?","@FIXME: Bạn có chắc chắn muốn INSTALL tất cả các gói lựa chọn?"
"Are you sure you wish to UNINSTALL all selected packages?","@FIXME: Bạn có chắc chắn muốn gỡ bỏ cài đặt tất cả các gói lựa chọn?"
"Are you sure you wish to UPGRADE all selected packages?","@FIXME: Bạn có chắc chắn muốn UPGRADE tất cả các gói lựa chọn?"
ASCII,"@FIXME: ASCII"
"As low as:","Thấp nhất là:"
Assigned,"Được gán"
"Associated Tags","Các thẻ liên quan"
Attributes,"Các thuộc tính"
"Attribute Set Name:","Tên nhóm thuộc tính:"
"Attribute set successfully saved.","@FIXME: Thuộc tính thiết lập lưu thành công."
"Attribute set was successfully removed.","@FIXME: Thuộc tính thiết lập đã được gỡ bỏ thành công."
"A user with the same user name or email aleady exists.","Tên thành viên hoặc thư điện tử đã được sử dụng"
"Authorization confirmed","Ủy quyền được xác nhận"
"Authorize application","Ủy quyền ứng dụng"
"Authorized OAuth Tokens","Thẻ xác thực ủy quyền OAuth"
Authorize,"Ủy quyền"
"Automatic (equalize price ranges)","Tự động (cân bằng giá dao động)"
"Automatic (equalize product counts)","Tự động (cân bằng số lượng sản phẩm)"
"Available Products","@FIXME: Sản phẩm có sẵn"
"Available Version","@FIXME: sẵn Version"
"Average Order Amount","Trung bình số tiền đặt hàng"
"Average Orders","Trung bình các đơn hàng"
Back,"Quay lại"
"Back to local packages","@FIXME: Trở lại với các gói địa phương"
"Back to Login","Quay lại trang đăng nhập"
"Backup Name","Tên sao lưu"
"Backup options","Tùy chọn sao lưu"
"Backup record was deleted","@FIXME: Sao lưu bản ghi đã bị xóa"
Backup,"Sao lưu"
Backups,"Sao lưu"
"Backup successfully created","@FIXME: Sao lưu tạo thành công"
"Base currency","Đồng tiền cơ bản"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure Url / Base Secure Url. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","@FIXME: {{ }} BASE_URL không được khuyến cáo sử dụng trong một môi trường sản xuất để khai báo cơ sở không an toàn Url / cơ sở an toàn Url.  Nó là rất khuyến khích để thay đổi giá trị này trong Magento u003ca href=""%s""u003e cấu hình u003c/au003e."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","Khuyến cáo không sử dụng {{base_url}} để khai báo URL không an toàn gốc/ URL an toàn gốc trong cài đặt hệ thống. Đề nghị cấp thiết Quý khách thay đổi giá trị này trong <a href=""%s"">cài đặt hệ thống</a> STCMeCOM của mình."
Bcc,"@FIXME: Bcc"
Bestsellers,"Bán chạy nhất"
b,"@FIXME: b"
"Big Image","@FIXME: Big hình ảnh"
"Billing Address: ","Địa chỉ thanh toán: "
"Billing Address","Địa chỉ thanh toán"
"Billing address","@FIXME: địa chỉ thanh toán"
"Billing Agreements","Các thỏa thuận thanh toán"
"Billing Agreement","Thỏa thuận thanh toán"
BINARY,"SỐ NHỊ PHÂN"
"Block Information","Thông tin khối"
"Both IPN and PDT","Cả hai IPN và PDT"
"Both (without and with tax)","Cả hai (không và bao gồm thuế)"
"Browse Available Extensions","@FIXME: Duyệt mở rộng có sẵn"
"Browse Available Remote Extensions","@FIXME: Duyệt mở rộng từ xa có sẵn"
"Browse Files...","Duyệt các tập tin..."
"Bundle Items","@FIXME: mục Bundle"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Gói sản phẩm có giá cả thay đổi không thể bao gồm các tùy chọn được xác định. Các tùy chọn sẽ không được lưu."
"Cache Control (beta)","Kiểm soát bộ nhớ đệm (beta)"
"Cache Control","Tùy chọn bộ nhớ đệm"
"Cache Management","Quản lý Bộ nhớ đệm"
"Cache Type","Loại bộ nhớ đệm"
Cancel,"Hủy bỏ"
"Can not add new comment.","@FIXME: Không thể thêm bình luận mới."
"Cannot add new comment.","Không thể thêm bình luận mới."
"Can not add tracking number.","@FIXME: Không thể thêm số theo dõi."
"Cannot add tracking number.","Không thể thêm số theo dõi."
"Cannot create an invoice without products.","Không thể tạo hóa đơn không có sản phẩm."
"Cannot create credit memo for the order.","Không thể tạo bản ghi tín dụng cho đơn hàng."
"Cannot delete the design change.","Không thể xóa thay đổi thiết kế."
"Can not delete tracking number.","@FIXME: Không thể xóa số theo dõi."
"Cannot delete tracking number.","Không thể xóa số theo dõi."
"Can not do credit memo for order","@FIXME: Không thể làm bản ghi nhớ tín dụng cho thứ tự"
"Can not do invoice for order","@FIXME: Không thể làm hóa đơn đặt hàng"
"Can not do shipment for order.","@FIXME: Không thể làm cho lô hàng theo thứ tự."
"Cannot do shipment for the order.","Không thể chuyển hàng theo đơn hàng này."
"Cannot do shipment for the order separately from invoice.","Không thể chuyển hàng theo đơn hàng tách khỏi hóa đơn."
"Can not initialize shipment for adding tracking number.","@FIXME: Không thể khởi tạo hàng cho thêm số theo dõi."
"Cannot initialize shipment for adding tracking number.","Không thể tạo lô hàng cho số theo dõi được thêm vào."
"Can not initialize shipment for delete tracking number.","@FIXME: Không thể khởi tạo hàng cho số theo dõi xóa."
"Cannot initialize shipment for delete tracking number.","Không thể tạo lô hàng cho số theo dõi bị xóa."
"Can not load track with retrieving identifier.","@FIXME: Không thể tải ca khúc với lấy định danh."
"Cannot load track with retrieving identifier.","Không thể tải theo dõi cho định danh nhận được."
"Can not retrieve tracking number detail.","@FIXME: Không thể lấy chi tiết số lượng theo dõi."
"Cannot retrieve tracking number detail.","Không thể nhận được chi tiết số theo dõi."
"Can not save credit memo","@FIXME: Không thể lưu bản ghi nhớ tín dụng"
"Can not save invoice","@FIXME: Không có thể tiết kiệm hóa đơn"
"Can not save shipment.","@FIXME: Không có thể tiết kiệm hàng."
"Cannot save shipment.","Không thể lưu lô hàng."
"Cannot save the credit memo.","Không thể lưu bản ghi tín dụng"
"Can not send shipment information.","@FIXME: Không có thể gửi thông tin giao hàng."
"Cannot send shipment information.","Không thể gửi thông tin lô hàng."
"Can not update item qty","@FIXME: Không thể cập nhật mục qty"
"Cannot update item quantity.","Không thể cập nhật số lượng mặt hàng."
"Cannot update the item\'s quantity.","Không thể cập nhật số lượng mặt hàng."
"Can't delete design change",@TODO
"Can't find email address.",@TODO
"Card Verification Number","@FIXME: Số Thẻ xác nhận"
Catalog,"Danh mục"
"CatalogInventory Stock Status rebuild error. Please try again later","@FIXME: CatalogInventory Cổ Tình trạng xây dựng lại lỗi.  Vui lòng thử lại sau"
"CatalogInventory Stock Status was rebuilt successfully","@FIXME: CatalogInventory Cổ Status được xây dựng lại thành công"
"Catalog Price Rules","Danh mục các quy tắc giá"
"Catalog Rewrites","Sao chép danh mục"
"Catalog Rewrites was refreshed successfully","@FIXME: Ghi đè Catalog được cập nhật thành công"
"Catalog Rewrites were refreshed successfully","@FIXME: Ghi đè Catalog được cập nhật thành công"
Categories,"Các nhóm sản phẩm"
Category,"@FIXME: Danh mục"
Category:,"Nhóm sản phẩm:"
Changelog,"@FIXME: changelog"
Channel:,"@FIXME: channel:"
Channel,"@FIXME: kênh"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Biểu đồ đã được vô hiệu. Nếu Quý khách muốn kích hoạt biểu đồ, xin bấm vào <a href=""%s"">đây</a>."
Checkbox,"Hộp kiểm"
"Child Transactions","Các giao dịch con"
"Choose an attribute","Chọn một thuộc tính"
"Choose Store View:","Chọn không gian cửa hàng:"
"Choose Store View","@FIXME: Chọn cửa hàng Xem"
"Chosen category does not associated with any website, so url rewrite is not possible.","Chọn nhóm sản phẩm không gắn với bất kỳ website nào, vì vậy, không thể nhận được sao chép URL."
"Chosen product does not associated with any website, so url rewrite is not possible.","Chọn sản phẩm không liên quan đến bất kỳ website nào, vì vậy, không thể nhận được sao chép URL."
Clear,Xóa
"- Click on any of the time parts to increase it","- Bấm lên bất kỳ phần nào để tăng nó"
close,đóng
Close,Đóng
CMS,"@FIXME: CMS"
Code,"@FIXME: Mã"
"Comments History","@FIXME: Comments Lịch sử"
"Comment text field can not be empty.","@FIXME: Lĩnh vực văn bản bình luận không thể để trống."
"Comment text field cannot be empty.","Trường văn bản bình luận không thể để trống."
Complete,"Hoàn thành"
"Config form fieldset clone model required to be able to clone fields","@FIXME: Config mô hình bản sao hình thức fieldset cần thiết để có thể nhân bản các lĩnh vực"
Configuration,"Cấu hình"
"Configuration successfully saved","@FIXME: Cấu hình lưu thành công"
"Confirmation Of Authorization","Xác nhận ủy quyền"
"Confirmed email:","Xác nhận thư điện tử:"
"Confirm New Password","Xác nhận mật khẩu mới"
"Confirm token authorization for admin","Xác nhận thẻ xác thực ủy quyền cho quản trị"
"Confirm token authorization Pop Up for admin","Xác nhận Pop Up thẻ xác thực ủy quyền cho quản trị"
Conflicts,"@FIXME: Xung đột"
"Connect with the Magento Community","Kết nối với STCMeCOM"
Contents,"@FIXME: Nội dung"
Continue,"Tiếp tục"
"Convert to Plain Text","Chuyển đổi sang văn bản dạng đơn giản"
"Cookie (unsafe)","Cookie (Không an toàn)"
"Cookie (Unsafe)","@FIXME: Cookie ( không an toàn )"
Country,"Quốc gia"
Country:,"Quốc gia:"
"Coupon Code","@FIXME: Phiêu Mã"
Coupons,"Các phiếu giảm giá"
"Create a backup","@FIXME: Tạo một bản sao lưu"
"Created At","Được tạo vào"
"Create DB Backup","Tạo bản sao cơ sở dữ liệu"
"Created <strong>%s</strong> items","@FIXME: Tạo u003c strongu003e % s u003c/ strongu003e mục"
"Create Extension Package","@FIXME: Tạo mở rộng gói"
"Create New Attribute","Tạo thuộc tính mới"
"Create New Staging Store View","@FIXME: Tạo mới Staging cửa hàng Xem"
Create,"Tạo mới"
"Create Urlrewrite:","@FIXME: Tạo Urlrewrite:"
"Create URL Rewrite:","Tạo sao chép URL:"
"Credit Card Number","@FIXME: Số Thẻ Tín Dụng"
"Credit Card Number: xxxx-%s","@FIXME: Số thẻ tín dụng: xxxx- % s"
"Credit Card %s","Thẻ tín dụng %s"
"Credit Card Type","@FIXME: Loại thẻ tín dụng"
"Credit Card Type: %s","@FIXME: Loại thẻ tín dụng: % s"
"Credit Memo cancel error.","@FIXME: Memo tín dụng hủy bỏ lỗi."
"Credit Memo History","Lịch sử bản ghi tín dụng"
"Credit Memos","Các bản ghi tín dụng"
"Credit Memo #%s comment added","@FIXME: Memo tín dụng #% s bình luận thêm"
"Credit memo #%s comment added","Ghi chú cho bản ghi tín dụng #%s đã được thêm vào"
"Credit memo #%s created","Bản ghi tín dụng #%s đã được tạo"
"Credit Memo #%s created","@FIXME: Memo tín dụng #% s tạo"
"Credit memo\'s total must be positive.","Tổng số bản ghi tín dụng phải là số dương."
"Credit Memo total must be positive.","@FIXME: Tín dụng tổng Memo phải là số dương."
"Credit Memo Totals","Tổng số bản ghi tín dụng"
"Credit Memo void error","@FIXME: Memo tín dụng khoảng trống lỗi"
"Credit Memo was successfully canceled.","@FIXME: Memo tín dụng đã bị hủy bỏ thành công."
"Credit Memo was successfully created","@FIXME: Memo tín dụng đã được tạo thành công"
"Credit Memo was successfully voided","@FIXME: Memo tín dụng bị bác bỏ thành công"
critical,"quan trọng"
CRITICAL,"QUAN TRỌNG"
CSV,"@FIXME: CSV"
"CSV / Tab separated","CSV/ Thẻ riêng rẽ"
"Currency Information","Thông tin tiền tệ"
"Currency Setup Section","Khu vực thiết lập tiền tệ"
"Currency ""%s"" is used as %s in %s.","Đồng tiền ""%s"" được sử dụng như %s trong %s."
Currency,"Tiền tệ"
"Current Configuration Scope:","Phạm vi cấu hình hiện tại:"
"Current Month","Tháng này"
"Current Release Information","@FIXME: Thông tin phát hành hiện tại"
"Customer Group:","Nhóm khách hàng:"
"Customer Groups","Các nhóm khách hàng"
Customer,"Khách hàng"
"Customer Name","Tên khách hàng"
"Customer Reviews","Nhận xét của khách hàng"
"Customers by Number of Orders","Các khách hàng theo số các đơn hàng"
"Customers by Orders Total","Các khách hàng theo tổng số đơn hàng"
"Customer Shopping Carts","Giỏ hàng của khách"
"Customer Since:","Khách hàng từ:"
Customers,"Khách hàng"
"Customer Tax Classes","Các mức thuế khách hàng"
"Customer was deleted","@FIXME: Khách hàng đã bị xóa"
"Customer was successfully saved","@FIXME: Khách hàng đã được lưu thành công"
"Customer with the same email already exists.","Thư điện tử này của khách hàng đã được sử dụng."
Custom,"Tùy chỉnh"
"Custom Variable ""%s""","Tùy chỉnh biến ""%s"""
"Custom Variables","Tùy chỉnh các biến"
Dashboard,"Bảng điều khiển"
Database,"Cơ sở dữ liệu"
"Dataflow - Advanced Profiles","Lưu lượng dữ liệu - Các hồ sơ cao cấp"
"Dataflow - Profiles","Lưu lượng dữ liệu - Các hồ sơ"
"Data Format","Định dạng dữ liệu"
"Data transfer:","Chuyển dữ liệu:"
"Date Added","Ngày thêm vào"
Date:,"@FIXME: ngày:"
Date,Ngày
"Date selection:","Chọn ngày:"
"Date selector","Chọn ngày"
"Date & Time","Ngày và Giờ"
"Date Updated","Ngày cập nhật"
Day,Ngày
"Decimal separator:","Tách thập phân:"
"Default (Admin) Values","Các giá trị (Quản trị) mặc định"
"Default Billing Address","Địa chỉ thanh toán mặc định"
"Default Config","Cấu hình mặc định"
"Default display currency ""%s"" is not available in allowed currencies","@FIXME: Tiền tệ hiển thị mặc định""% s""không có sẵn trong tiền tệ cho phép"
"Default display currency ""%s"" is not available in allowed currencies.","Không hiển thị được loại đồng tiền mặc định ""%s"" trong các loại tiền tệ cho phép."
"Default scope","Phạm vi mặc định"
"Default Template from Locale","Mẫu mặc định trong hệ thống"
"Default Values","Các giá trị mặc định"
" [deleted]"," [đã được xóa]"
"[ deleted ]","[ đã xóa ]"
[deleted],"@FIXME: [ đã xóa]"
"Delete File","Xóa tập tin"
"Delete Image","Xóa hình ảnh"
"Delete Profile","Xóa hồ sơ"
"Delete Role","Xóa vai trò"
"Delete %s '%s'","Xóa %s '%s'"
"Delete Store View","Xóa không gian cửa hàng"
"Delete Store","Xóa cửa hàng"
"Delete %s","Xóa %s"
"Delete Template","Xóa mẫu"
"Delete User","Xóa thành viên"
"Delete Website","Xóa website"
Delete,Xóa
Dependencies,"@FIXME: phụ thuộc"
Description:,"@FIXME: Mô tả:"
Description,"Mô tả"
"Design change deleted","@FIXME: Thay đổi thiết kế đã xóa"
"Design change saved","@FIXME: Thay đổi thiết kế lưu"
"Design Section","Khu vực thiết kế"
Design,"Thiết kế"
Details,"Các chi tiết"
"Developer Section","Khu vực nhà phát triển"
"DHTML Date/Time Selector","Chọn Ngày/Giờ DHTML"
Direction:,Hướng:
Disabled,"Đã được vô hiệu"
Disable,"Vô hiệu hóa"
"Discount Amount","@FIXME: Số tiền giảm giá"
"Display default currency","Hiển thị đồng tiền mặc định"
"Display %s first","Hiển thị %s trước"
"Distributed under GNU LGPL. See %s for details.","Được phân phối bới GNU LGPL. Xem %s để biết thêm chi tiết."
"Done by:","@FIXME: Thực hiện bằng cách:"
"Done By:","@FIXME: Thực hiện bởi:"
"Download and Install","@FIXME: Tải về và cài đặt"
"Downloading and installing $pkg, please wait...","@FIXME: Tải về và cài đặt $ pkg, vui lòng đợi..."
"Download Remote File","@FIXME: Tải về Remote File"
Downloads,"Tải xuống"
Download,"Tải xuống"
"Do you really want to KILL parallel process and start new indexing process?","Quý khách có thực sự muốn KẾT THÚC quá trình song song và bắt đầu quá trình lập chỉ mục mới?"
"Do you really want to proceed?","Quý khách có thực sự muốn tiếp tục?"
"Drag to move","Kéo và di chuyển"
Drop-down,"Thả xuống"
"//Được dịch bởi Nguyễn Thái Sơn"," STC"
Edit,"Chỉnh sửa"
"Edit Design Change","Chỉnh sửa thay đổi thiết kế"
"Edit Email Template","Chỉnh sửa mẫu thư điện tử"
"Edit Order","Chỉnh sửa đơn hàng"
"Edit Poll","Chỉnh sửa bình chọn"
"Edit Queue","Chỉnh sửa chờ duyệt"
"Edit Review","Chỉnh sửa nhận xét"
"Edit Role","Chỉnh sửa vai trò"
"Edit Store View","Chỉnh sửa không gian cửa hàng"
"Edit System Template","Chỉnh sửa mẫu hệ thống"
"Edit Tag","@FIXME: Sửa Tag"
"Edit Template","Chỉnh sửa mẫu"
"Edit URL Rewrite","Chỉnh sửa sao chép URL"
"Edit Urlrewrite","@FIXME: chỉnh sửa Urlrewrite"
"Edit User","Chỉnh sửa thành viên"
"Edit User '%s'","Chỉnh sửa thành viên '%s'"
"Edit Website","Chỉnh sửa website"
"Email Address:","Địa chỉ thư điện tử:"
"Email address is empty.","@FIXME: Địa chỉ email có sản phẩm nào."
"Email Preview","Xem trước thư điện tử"
"//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com","@FIXME: // Email: sonntstc@gmail.com.  Website: http://sonntstc.vze.com"
Email,"Thư điện tử"
Email:,"Thư điện tử:"
"Email to a Friend","Gửi thư điện tử tới bạn bè"
Enabled,"Đã được kích hoạt"
Enable,"Kích hoạt"
"Enclose Values In:","Kèm theo các giá trị trong:"
"Entity Attributes","@FIXME: Các thuộc tính thực thể"
"Entity type:","Loại thực thể:"
"Entity Type","Loại thực thể"
Error,Lỗi
"Error uploading the file","@FIXME: Lỗi tải lên các tập tin"
"Error while cleared Image cache. Please try again later","@FIXME: Lỗi trong khi xoá bộ nhớ cache hình ảnh.  Vui lòng thử lại sau"
"Error while create backup. Please try again later","@FIXME: Lỗi trong khi tạo sao lưu.  Vui lòng thử lại sau"
"Error while deleting this role. Please try again later.","@FIXME: Lỗi khi xóa vai trò này.  Vui lòng thử lại sau."
"Error while deleting this set.","@FIXME: Lỗi khi xóa bộ này."
"Error while finished process. Please refresh cache","@FIXME: Lỗi trong khi quá trình hoàn tất.  Hãy làm mới bộ nhớ cache"
"Error while refreshed Catalog Rewrites. Please try again later","@FIXME: Lỗi trong khi Catalog làm mới viết lại.  Vui lòng thử lại sau"
"Error while refreshed Layered Navigation Indices. Please try again later","@FIXME: Lỗi trong khi làm mới Layered Navigation chỉ số.  Vui lòng thử lại sau"
"Error while saving account. Please check all required fields","@FIXME: Lỗi trong khi tài khoản tiết kiệm.  Vui lòng kiểm tra tất cả các trường bắt buộc"
"Error while saving account. Please try again later","@FIXME: Lỗi trong khi tài khoản tiết kiệm.  Vui lòng thử lại sau"
"Error while saving this configuration: ","@FIXME: Lỗi trong khi lưu cấu hình này:"
"Error while saving this role. Please try again later.","@FIXME: Lỗi trong khi tiết kiệm vai trò này.  Vui lòng thử lại sau."
"Error while updating selected review(s). Please try again later.","@FIXME: Lỗi khi cập nhật xem xét lựa chọn (s ).  Vui lòng thử lại sau."
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","Ví dụ: ""sitemap/"" hoặc ""/"" cho thư mục gốc (phải nhập đường dẫn)"
"example: sitemap.xml","@FIXME: Ví dụ: sitemap.xml"
"Excel XML","@FIXME: Excel XML"
"Excl. Tax","Trước thuế"
"Exclude (comma separated)","@FIXME: Loại trừ ( dấu phẩy )"
Exclude,"@FIXME: Loại trừ"
"Exclude media folder from backup","Loại thư mục truyền thông khỏi sao lưu"
"Expiration Date","@FIXME: Ngày hết hạn"
"Expiration Date: %s/%s","@FIXME: Ngày hết hạn: % s / % s"
"Export CSV","Kết xuất CSV"
"Export Filters","Kết xuất các bộ lọc"
Export,"Kết xuất"
Export:,"Kết xuất:"
"Export to:","Kết xuất ra:"
Extension,"@FIXME: sự mở rộng"
"Extension Name","@FIXME: Extension Name"
Extensions,"@FIXME: Phần mở rộng"
Failed,"@FIXME: thất bại"
