"About This Order:","Về đơn hàng này:"
"Cancel order","Hủy đơn hàng"
"Cannot add order history.","@FIXME: Không thể thêm lịch sử đặt hàng."
"Can not add order history.","Không thể thêm vào lịch sử đơn hàng."
"Cannot create an empty shipment.","Không thể tạo chuyển hàng rỗng."
"Can not create block ""%s""","Không thể tạo các khối ""%s"""
"Cannot determine the field name.","@FIXME: Không thể xác định tên trường."
"Cannot do invoice for order.","@FIXME: Không thể làm hóa đơn cho đơn đặt hàng."
"Can not do invoice for order.","Không thể tạo hóa đơn cho đơn hàng."
"Cannot do shipment for order.","@FIXME: Không thể làm cho lô hàng theo thứ tự."
"Can not do shipment for order.","Không thể chuyển hàng cho đơn hàng."
"Cannot get order instance","@FIXME: Không thể có được ví dụ để"
"Cannot get the order instance.","@FIXME: Không thể có được các ví dụ để."
"Cannot register an existing credit memo.","@FIXME: Không thể đăng ký một bản ghi nhớ tín dụng hiện có."
"Can not register existing creditmemo","Không thể đăng ký bản ghi nhớ thể tín dụng có sẵn"
"Cannot register existing invoice","@FIXME: Không thể đăng ký hóa đơn hiện tại"
"Can not register existing invoice","Không thể đăng ký hóa đơn đã có"
"Cannot register existing shipment","@FIXME: Không thể đăng ký lô hàng hiện có"
"Can not register existing shipment","Không thể đăng ký chuyển hàng đã có"
"Can\'t get order instance","Không thể có đơn hàng ngay lập tức"
"Can't get order instance",@TODO
"Capture Amount","Lượng lấy"
"Captured amount of %s online.","@FIXME: Bắt số lượng % s trực tuyến."
"Capture invoice","Lấy hóa đơn"
Capture,Lấy
"Capture Offline","Lấy không trực tuyến"
"Capture Online","Lấy trực tuyến"
"Capturing amount of %s is pending approval on gateway.","@FIXME: Chụp lượng % s đang chờ phê duyệt gateway."
Carrier/Method,"@FIXME: Carrier / Phương pháp"
Carrier,"Vận chuyển"
"Change status, add comments","Thay đổi trạng thái, thêm nhận xét"
"Change Status","Thay đổi trạng thái"
"Changing address information will not recalculate shipping, tax or other order amount.","@FIXME: Thay đổi thông tin địa chỉ sẽ không tính toán lại vận chuyển, thuế hoặc số thứ tự khác."
"Checkout Totals Sort Order","@FIXME: Các tổng số thanh toán theo thứ tự"
"Checkout totals sort order","Sắp xếp tổng mục thanh toán"
City,"Thành phố"
"Clear Shopping Cart","Xóa Giỏ hàng"
"Click to change shipping method","Click để đổi các chuyển hàng"
Closed,"Đã đóng"
Close,"@FIXME: gần"
cm,"@FIXME: cm"
Comma-separated.,"Ngăn cách bằng dấu phẩy."
Comment,"Nhận xét"
"Comments History","Lịch sử nhận xét"
Comments,"Nhận xét"
"Comment Text","Nội dung nhận xét"
Company,"@FIXME: công ty"
Complete,"Hoàn thành"
"Configure and Add to Order","@FIXME: Cấu hình và Thêm vào theo thứ tự"
Configure,"Cấu hình"
Contents,"Nội dung"
Continue,"Tiếp tục"
"Controls whether customer IP is shown in orders, invoices, shipments, credit memos.","@FIXME: Điều khiển IP của khách hàng được thể hiện trong đơn đặt hàng, hoá đơn, vận chuyển, bản ghi nhớ tín dụng."
Country,Nước
Coupons,"Phiếu thưởng"
"Created At","Tạo vào"
"Created billing agreement #%s.","Đã tạo Điều khoản thanh toán # %s."
Created:,"Tạo lúc:"
Create...,"Tạo..."
"Create new credit memo for order","@FIXME: Tạo bản ghi nhớ tín dụng mới cho trật tự"
"Create New Customer","Tạo khách hàng mới"
"Create new invoice for order","Tạo hóa đơn mới cho đơn hàng"
"Create New Order for New Customer in %s","Tạo đơn hàng mới cho khách hàng mới trong %s"
"Create New Order for New Customer","Tạo đơn hàng mới cho khách hàng mới"
"Create New Order for %s in %s","Tạo Đơn hàng mới cho %s trong %s"
"Create New Order for %s","Tạo Đơn hàng mới cho %s"
"Create New Order Status","Tạo Trạng thái Đặt hàng mới"
"Create New Order","Tạo đơn hàng mới"
"Create new shipment for order","Tạo vận chuyển mới cho đơn hàng"
"Create New Status","Tạo Trạng thái mới"
"Create Order","Tạo Đơn đặt hàng"
"Create Packages","Tạo gói"
"Create Shipment","Tạo chuyển hàng"
"Create Shipping Label...","@FIXME: Tạo Shipping Label..."
"Create Shipping Label","@FIXME: Tạo Shipping Label"
Create,Tạo
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","@FIXME: Memo tín dụng # % 1 $ s | % 3 $ s | % 2 $ s ( % 4 $ s)"
Creditmemo,"Bản ghi nhớ thẻ tín dụng"
"Credit Memo","Bản ghi nhớ thẻ tín dụng"
"Credit memo canceling problem.","@FIXME: Bản ghi nhớ tín dụng hủy bỏ vấn đề."
"Credit memo cannot be canceled.","@FIXME: Bản ghi nhớ tín dụng không thể hủy bỏ."
"Credit Memo Comment Email Sender","Người gửi Email nhận xét bản ghi nhớ thẻ tín dụng"
"Credit Memo Comment Email Template for Guest","Mẫu Mail nhận xét bản ghi nhớ thẻ tín dụng cho khách"
"Credit Memo Comment Email Template","Mẫu Mail nhận xét bản ghi nhớ thẻ tín dụng"
"Credit Memo Comments","Nhận xét bản ghi nhớ thẻ tín dụng"
"Credit Memo #","Credit Memo # "
"Credit Memo email not sent","Không gửi được email bản ghi nhớ thẻ tín dụng"
"Credit Memo Email Sender","Email người gửi bản ghi nhớ thẻ tín dụng"
"Credit Memo email sent","Đã gửi email bản ghi nhớ thẻ tín dụng"
"Credit Memo Email Template for Guest","Mẫu Email bản ghi nhớ thẻ tín dụng cho khách"
"Credit Memo Email Template","Mẫu Email bản ghi nhớ thẻ tín dụng"
"Credit Memo # ","@FIXME: Memo tín dụng #"
"Credit memo has been created automatically","@FIXME: Bản ghi nhớ tín dụng đã được tạo ra tự động"
"Credit Memos","Bản ghi nhớ thẻ tín dụng"
"Credit Memo Update","Cập nhật bản ghi nhớ thẻ tín dụng"
"Credit Memo Update for Guest","Cập nhật bản ghi nhớ thẻ tín dụng cho khách"
"Customer Can Define Start Date","@FIXME: Khách hàng có thể Xác định Ngày bắt đầu"
"Customer Email","Email khách hàng"
"Customer Group","Nhóm khách hàng"
Customer,"Khách hàng"
"Customer Last Name","Tên Khách hàng"
"Customer My Account Order Creditmemo View","@FIXME: Khách hàng Tài khoản của tôi tự Creditmemo Xem"
"Customer My Account Order History","@FIXME: Khách hàng Tài khoản của tôi Lịch sử đặt"
"Customer My Account Order Invoice View","@FIXME: Khách hàng Tài khoản của tôi theo thứ tự hóa đơn Xem"
"Customer My Account Order Shipment View","@FIXME: Khách hàng Tài khoản của tôi theo thứ tự lô hàng Xem"
"Customer My Account Order View","@FIXME: Khách hàng Tài khoản của tôi tự Xem"
"Customer Name","Tên khách hàng"
"Customer\'s Current Activities","Các hoạt động gần đây của khách hàng"
"Customer's Current Activities",@TODO
"Custom Options","Tùy chọn của khách hàng"
"Custom Price","Giá khách hàng"
"Customs Value","@FIXME: Giá trị hải quan"
"Custom Value","Giá trị tùy chỉnh"
Date,Ngày
"Date of Birth","Ngày sinh"
"Date Shipped","Ngày chuyển hàng"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If you see image distortion in PDF, try to use larger image","@FIXME: Mặc định logo, sẽ được sử dụng trong PDF và tài liệu HTML. u003cbr /u003e (Jpeg, tiff, png) Nếu bạn thấy biến dạng hình ảnh trong PDF, cố gắng sử dụng hình ảnh lớn hơn"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Logo mặc định, sẽ sử dụng tài liệu dạng PDF và HTML.<br />(jpeg, tiff, png)"
"Default Status","Tình trạng mặc định"
"Default Template","Mẫu mặc định"
"Delete Package","Xóa gói"
Delete,Xóa
"Denied the payment online.","@FIXME: Từ chối thanh toán trực tuyến."
"Deny Payment","Từ chối thanh toán"
"Description Message","Mô tả"
"Description message","Nội dung tin nhắn"
"Discount Amount","Lượng giảm giá"
"Discount ","Giảm giá"
"Discount :","Giảm giá :"
Discount,"Giảm giá"
"Discount (%s)","Giảm giá (%s)"
Discount%s,"Giảm giá%s"
"Display Order ID in Header","Hiện ID đơn hàng ở trên đầu"
Document,"Tài liệu"
Edit,"@FIXME: chỉnh sửa"
"Edit Gift Messsage","@FIXME: Chỉnh sửa quà tặng messsage"
"Edit Order #%s","Sửa Đơn hàng # %s"
"Edit Order %s %s Address","Sửa Địa chỉ Đơn hàng %s %s"
"Edit Order Status","Sửa Trạng thái Đơn hàng"
"Email Address","Địa chỉ Email"
"Email Copy of Credit Memo","@FIXME: Email Bản sao Memo tín dụng"
"Email Copy of Invoice","@FIXME: Email Bản sao hóa đơn"
"Email Copy of Shipment","@FIXME: Email Bản sao của lô hàng"
"Email Order Confirmation","@FIXME: Chứng nhận email tự"
Enabled,"Bật"
Enable,"Bật"
"* - Enter custom price excluding tax","* - Nhập giá khách hàng không bao gồm cả thuế"
"* - Enter custom price including tax","* - Nhập giá khách hàng bao gồm cả thuế"
"Entered data is incorrect. Please try again.","@FIXME: Dữ liệu nhập vào là không chính xác.  Vui lòng thử lại."
"Enter the billing last name and email/ZIP as in the order billing address","@FIXME: Nhập thanh toán cuối cùng tên và email / ZIP như trong địa chỉ thanh toán theo thứ tự"
"Error to Show in Shopping Cart","@FIXME: Lỗi Hiển thị Giỏ hàng"
"Error to show in shopping cart","@FIXME: Lỗi hiển thị trong giỏ hàng"
"Excl. Tax","@FIXME: Không kể.  thuế"
Expired,"@FIXME: hết hạn"
Explanation,"@FIXME: giải thích"
"Failed to cancel the billing agreement.","@FIXME: Không thể hủy bỏ hợp đồng thanh toán."
"Failed to create billing agreement for this order.","@FIXME: Không tạo được thỏa thuận thanh toán cho đơn hàng này."
"Failed to finish billing agreement wizard.","@FIXME: Không thể hoàn thành thanh toán thỏa thuận wizard."
"Failed to send the order email.","@FIXME: Không thể gửi email đặt hàng."
"Failed to start billing agreement wizard.","@FIXME: Không thể bắt đầu thanh toán thỏa thuận wizard."
"Failed to update the payment.","@FIXME: Không thể cập nhật thanh toán."
"Failed to update the profile.","@FIXME: Không thể cập nhật hồ sơ cá nhân."
"Failed to void the payment.","@FIXME: Không thể làm mất hiệu lực thanh toán."
Fetch,"@FIXME: Fetch"
"File extension not known or unsupported type in the following shipment: %s","@FIXME: Mở rộng tập tin không được biết đến hoặc loại không được hỗ trợ trong lô hàng sau đây:% s"
"Find Order By:","Tìm Đơn hàng theo:"
"First Name","Tên"
From,"Từ"
From:,"Từ:"
"From Name","Từ Tên"
General,"@FIXME: chung"
"General Information","Thông tin chung"
"Get Payment Update","@FIXME: Nhận Cập nhật Thanh toán"
"Get shipping methods and rates","@FIXME: Nhận vận chuyển các phương pháp và tỷ lệ"
"Get Update","@FIXME: Nhận Cập nhật"
"Gift Certificate","@FIXME: Giấy chứng nhận quà tặng"
Gift,"@FIXME: quà tặng"
"Gift Message","@FIXME: tin nhắn quà tặng"
"Gift Message for Entire Order","@FIXME: Tin nhắn quà tặng cho toàn bộ thứ tự"
"Gift Message for the Entire Order","@FIXME: Tin nhắn quà tặng cho toàn bộ thứ tự"
"Gift Message for this Order","@FIXME: Tin nhắn quà tặng cho Đơn hàng này"
"Gift Message for This Order","@FIXME: Tin nhắn quà tặng cho Lệnh này"
"Gift Options","@FIXME: Tùy chọn quà tặng"
"Gift Wrapping for the Entire Order","@FIXME: Gói quà tặng cho toàn bộ thứ tự"
Girth,"@FIXME: vòng tròn"
"Go to Home Page","@FIXME: Tới Trang chủ"
"Grand Total:","Tính tổng:"""
"Grand Total","Tính tổng"
"Grand Total to be Charged","@FIXME: Tổng cộng được Charged"
"Grand Total to be charged","@FIXME: Tổng cộng sẽ được tính phí"
"G.T. (Base)","@FIXME: G.T.  (Base )"
"G.T. (Purchased)","@FIXME: G.T.  ( Mua )"
Guest,Khách
Height,"@FIXME: chiều cao"
"Hide Customer IP","@FIXME: Hide IP khách hàng"
"Hold action is not available","@FIXME: Giữ hành động không có sẵn"
"Hold action is not available.","@FIXME: Giữ hành động là không có sẵn."
Hold,"@FIXME: giữ"
"Hold order","@FIXME: để giữ"
Home,"Trang chủ"
"If empty, the default description above will be used.","@FIXME: Nếu trống rỗng, mô tả mặc định ở trên sẽ được sử dụng."
"If empty, the default description above will be used","@FIXME: Nếu trống rỗng, mô tả mặc định ở trên sẽ được sử dụng"
"If empty, the default error above will be used.","@FIXME: Nếu trống, lỗi mặc định ở trên sẽ được sử dụng."
"If empty, the default error above will be used","@FIXME: Nếu trống, lỗi mặc định ở trên sẽ được sử dụng"
"If the invoice was created offline, try creating an offline creditmemo.","@FIXME: Nếu hóa đơn đã được tạo ra offline, cố gắng tạo ra một creditmemo offline."
"Incl. Tax","@FIXME: Incl.  thuế"
in,"@FIXME: trong"
Information,"Thông tin"
"Initial Fee","@FIXME: Phí ban đầu"
"Initial Fees","@FIXME: Phí ban đầu"
"Initial period payment","@FIXME: Thanh toán giai đoạn đầu"
"Insufficient information to create shipping label(s). Please verify your Store Information and Shipping Settings.","@FIXME: Đủ thông tin để tạo ra nhãn vận chuyển (s).  Hãy kiểm tra cửa hàng của bạn Thông tin và Vận Chuyển Settings."
"Invalid block: %s.","@FIXME: Khối không hợp lệ:% s."
"Invalid carrier specified.","@FIXME: Cung cấp dịch vụ định không hợp lệ."
"Invalid draw line data. Please define ""lines"" array.","@FIXME: Dữ liệu dòng rút ra không hợp lệ.  Hãy định nghĩa""dòng""mảng."
"Invalid entity model","@FIXME: Mô hình tổ chức không hợp lệ"
"Invalid item option format","@FIXME: Mục không hợp lệ tùy chọn định dạng"
"Invalid item option format.","@FIXME: Tùy chọn định dạng mục không hợp lệ."
"Invalid qty to invoice item ""%s""","@FIXME: Qty không hợp lệ cho hóa đơn mục""% s"""
"Invalid qty to refund item ""%s""","@FIXME: Qty không hợp lệ hoàn trả hàng""% s"""
"Invalid qty to ship for item ""%s""","@FIXME: Qty không hợp lệ để vận chuyển cho mục""% s"""
"Invalid renderer model","@FIXME: Mô hình renderer không hợp lệ"
"Invalid request for adding product to quote.","@FIXME: Yêu cầu không hợp lệ cho thêm sản phẩm để báo giá."
"Invalid request for adding product to quote","@FIXME: Yêu cầu không hợp lệ cho thêm sản phẩm để trích dẫn"
"Invalid value(s) for Qty to Ship","@FIXME: Giá trị không hợp lệ (s) cho Qty để tàu"
"Invoice #%1$s | %2$s | %4$s (%3$s)","Hóa đơn #%1$s | %2$s | %4$s (%3$s)"
"Invoice and Packing Slip Design","@FIXME: Hóa đơn và Bao bì Thiết kế trượt"
"Invoice and Ship","@FIXME: Hóa đơn và Ship"
"Invoice canceling problem.","@FIXME: Hóa đơn hủy bỏ vấn đề."
"Invoice cancel problem","@FIXME: Hóa đơn hủy bỏ vấn đề"
"Invoice can not be canceled","@FIXME: Hóa đơn không thể bị hủy bỏ"
"Invoice cannot be canceled.","@FIXME: Hóa đơn không thể bị hủy bỏ."
"Invoice can not be captured","@FIXME: Hóa đơn không thể bị bắt"
"Invoice cannot be captured.","@FIXME: Hóa đơn không thể bị bắt."
"Invoice cannot be voided.","@FIXME: Hóa đơn không thể được hủy bỏ."
"Invoice can not be void","@FIXME: Hóa đơn không thể bị vô hiệu"
"Invoice capture problem","@FIXME: Hóa đơn vấn đề chụp"
"Invoice capturing problem.","@FIXME: Hóa đơn vấn đề chụp."
"Invoice Comment Email Sender","@FIXME: Hóa đơn Comment Email người gửi"
"Invoice Comment Email Template","@FIXME: Hóa đơn Comment Email Template"
"Invoice Comment Email Template for Guest","@FIXME: Hóa đơn Comment Email Template cho Guest"
"Invoice Comments","@FIXME: hóa đơn Comments"
"Invoice Date","@FIXME: hóa đơn ngày"
Invoiced,"@FIXME: lập hoá đơn"
"Invoice email not sent","@FIXME: Email hóa đơn không được gửi"
"Invoice Email Sender","@FIXME: Hóa đơn Email người gửi"
"Invoice email sent","@FIXME: Email hóa đơn gửi"
"Invoice Email Template","@FIXME: Hóa đơn Email Template"
"Invoice Email Template for Guest","@FIXME: Hóa đơn Email Template cho Guest"
Invoice,"Hóa đơn"
"Invoice # ","Hóa đơn #"
"Invoice #","Hóa đơn # "
Invoices,"Hoá đơn"
"Invoice #%s","Hóa đơn # %s"
"Invoice Update","@FIXME: Cập nhật hóa đơn"
"Invoice Update for Guest","@FIXME: Cập nhật hóa đơn cho Guest"
"Invoice void problem","@FIXME: Hóa đơn trống vấn đề"
"Invoice will be created without communication with payment gateway.","@FIXME: Hoá đơn sẽ được tạo ra mà không cần giao tiếp với cổng thanh toán."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s"". Credit Memo has not been created. Please create offline Credit Memo.","@FIXME: IPN""Hoàn"".  Hoàn do thương gia.  Thông báo đăng ký về số tiền hoàn trả của % s.  ID giao dịch:""% s"".  Memo tín dụng đã không được tạo ra.  Hãy tạo ẩn Memo tín dụng."
"Is Closed","@FIXME: bị khóa"
Item,"@FIXME: mục"
"Item object is not specified.","@FIXME: Mục đối tượng không được chỉ định."
"Item options declaration error.","@FIXME: Lựa chọn mục lỗi kê khai."
"Item options declare error","@FIXME: Lựa chọn mục khai báo lỗi"
"Item option with code %s already exist","@FIXME: Mục tùy chọn với mã % s đã tồn tại"
"Item ordered qty","@FIXME: Mục ra lệnh qty"
"Item qty declaration error.","@FIXME: Mục lỗi khai qty."
"Item qty declare error","@FIXME: Mục lỗi qty khai báo"
Items,"@FIXME: mặt hàng"
"Items in the Package","@FIXME: Các thành phần trong gói"
"Items Invoiced","@FIXME: mục lập hoá đơn"
"Items maximum quantity or price do not allow checkout.","@FIXME: Các mặt hàng số lượng tối đa hoặc giá thành không cho phép thanh toán."
"Items options declaration error.","@FIXME: Mục tùy chọn lỗi kê khai."
"Items options declare error.","@FIXME: Mục tùy chọn khai báo lỗi."
"Items Ordered","@FIXME: mục thứ tự"
"Items Refunded","@FIXME: các mặt hàng hoàn trả"
"Items Shipped","@FIXME: mục Shipped"
"Item Status","@FIXME: mục Status"
"Items to Invoice","@FIXME: Tìm đến hóa đơn"
"Items to Refund","@FIXME: Mục để hoàn lại tiền"
"Items to Ship","@FIXME: Mục để tàu"
Key,"@FIXME: chìa khóa"
kg,"@FIXME: kg"
"Last Name","@FIXME: tên họ"
"Last Ordered Items","@FIXME: Cuối cùng mục thứ tự"
"Last ordered items","Sản phẩm đặt hàng mới nhất"
"Last status can\'t be unassigned from state.",@TODO
lb,"@FIXME: lb"
Length,"@FIXME: chiều dài"
"Link to the new order","@FIXME: Liên kết với các đơn đặt hàng mới"
"Link to the New Order","@FIXME: Liên kết với New Order"
"Link to the previous order","@FIXME: Liên kết với các đơn đặt hàng trước"
"Link to the Previous Order","@FIXME: Liên kết với các thứ tự trước"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","@FIXME: Logo cho các tài liệu HTML chỉ.  Nếu trống rỗng, mặc định sẽ được sử dụng. u003cbr /u003e (Jpeg, gif, png)"
"Logo for HTML Print View","@FIXME: Logo cho HTML Print View"
"Logo for HTML print view","@FIXME: Logo để xem in HTML"
"Logo for PDF print-outs (200x50)","@FIXME: Logo cho PDF in - outs ( 200x50 )"
"Logo for PDF Print-outs (200x50)","@FIXME: Logo cho PDF In - outs ( 200x50 )"
"Make Check payable to:","@FIXME: Kiểm tra thực hiện thanh toán cho:"
Manage,"@FIXME: quản lý"
"Maximum amount available to refund is %s","@FIXME: Số tiền tối đa có sẵn để hoàn trả là % s"
"Maximum shipping amount allowed to refund is: %s","@FIXME: Số tiền vận chuyển tối đa cho phép để hoàn trả là:% s"
Message:,"@FIXME: Thông báo:"
Message,"@FIXME: thông điệp"
"Minimum amount","@FIXME: số tiền tối thiểu"
"Minimum Amount","@FIXME: Số tiền tối thiểu"
"Minimum order amount","@FIXME: Số lượng đặt hàng tối thiểu"
"Minimum Order Amount","@FIXME: Số tiền tối thiểu theo thứ tự"
Mixed,"@FIXME: hỗn hợp"
"Most Viewed","@FIXME: Được xem nhiều nhất"
"Most Viewed Products Report","@FIXME: Được xem nhiều nhất Sản phẩm Báo cáo"
"Move to Shopping Cart","@FIXME: Di chuyển Giỏ hàng"
"Move to Wishlist","@FIXME: Di chuyển vào Wishlist"
"Multi-address description message","@FIXME: Mô tả Multi- địa chỉ tin"
"Multi-address Description Message","@FIXME: Multi- địa chỉ Mô tả tin nhắn"
"Multi-address error to show in shopping cart","@FIXME: Lỗi nhiều địa chỉ hiển thị trong giỏ hàng"
"Multi-address Error to Show in Shopping Cart","@FIXME: Multi- địa chỉ Lỗi Hiển thị Giỏ hàng"
"My Orders - Details","Đơn hàng của tôi - Chi tiết"
"My Orders","Đơn hàng của tôi"
Name,"Tên"
"New Billing Agreement","@FIXME: Hiệp định Thanh toán mới"
"New Credit Memo","@FIXME: New Memo tín dụng"
"New Credit Memo for Guest","@FIXME: New Memo tín dụng cho Guest"
"New Credit Memo for Invoice #%s","@FIXME: New Memo tín dụng cho Hóa đơn # % s"
"New Credit Memo for Order #%s","@FIXME: New Memo tín dụng cho thứ tự #% s"
New,"Mới"
"New Invoice and Shipment for Order #%s","@FIXME: Hóa đơn mới và lô hàng cho thứ tự #% s"
"New Invoice","@FIXME: Hóa đơn mới"
"New Invoice for Guest","@FIXME: Hóa đơn mới cho Guest"
"New Invoice for Order #%s","@FIXME: Hóa đơn mới cho thứ tự #% s"
"New Order Confirmation Email Sender","@FIXME: Trật tự mới nhận Email người gửi"
"New Order Confirmation Template","@FIXME: Mới nhận thứ tự mẫu"
"New Order Confirmation Template for Guest","@FIXME: Mới nhận hàng Mẫu Guest"
"New Order","@FIXME: New Order"
"New Order for Guest","@FIXME: Trật tự mới cho Guest"
"New Order RSS","@FIXME: New Order RSS"
