and,và
Name:,Tên:
Next month (hold for menu),Tháng tới (Giữ menu)
Next page,Trang kế tiếp
Next year (hold for menu),Năm tới (Giữ menu)
No,Không
No Data Found,Không tìm thấy dữ liệu
No search keywords.,Không có từ khóa tìm kiếm.
Note:,Ghi chú:
Notes:,Các ghi chú:
Number of records:,Tổng số kết quả:
Old rate:,Giá cũ:
"Only mapped fields","Only mapped fields"
Order Totals,Tổng số đơn hàng
Order confirmation email not sent,Email xác nhận chưa được gửi
Order confirmation email sent,Email xác nhận đã được gửi đi
"Original Magento attribute names in first row:","Original Magento attribute names in first row:"
Package,Gói
Package Information,Thông tin gói
Packages,Các gói
Page,Trang
Passive mode,Chế độ thụ động
Password,Mật khẩu
Path,Đường dẫn
Path:,Đường dẫn:
"PayPal Email","PayPal Email"
Personal Information,Thông tin các nhân
Phone:,Điện thoại:
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Please confirm site switching. All data that hasn\'t been saved will be lost."
Please enter 6 or more characters.,Vui lòng điền 6 ký tự trở lên.
Please enter a number greater than 0 in this field.,Vui lòng điền số lớn hơn 0 trong trường này.
Please enter a valid $ amount. For example $100.00.,Vui lòng điền số lượng chính xác $. Ví dụ $100.00.
Please enter a valid URL. For example http://www.example.com or www.example.com,Vui lòng điền URL chính xác. Ví dụ http://www.example.com hoặc www.example.com
Please enter a valid URL. http:// is required,Vui lòng điền URL chính xác. Yêu cầu có http://
Please enter a valid credit card number.,Vui lòng điền số thẻ tín dụng có hiệu lực.
Please enter a valid date.,Vui lòng điền ngày chính xác.
Please enter a valid email address. For example johndoe@domain.com.,Vui lòng điền email chính xác. VD johndoe@domain.com.
Please enter a valid number in this field.,Vui lòng điền số chính xác trong trường này.
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Vui lòng điền chính xác số điện thoại. VD (123) 456-7890 hoặc 123-456-7890.
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
Please enter a valid value from list,Vui lòng chọn giá trị chính xác trong danh sách
"Please enter a valid value, ex: 10,20,30","Vui lòng điền giá trị chính xác, VD: 10,20,30"
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
Please enter valid password.,Vui lòng điền mật khẩu chính xác.
Please make sure that your changes were saved before running the profile.,Vui lòng kiểm tra đã lưu dữ liệu trước khi sử dụng profile.
Please make sure your passwords match.,Vui lòng kiểm tra mật khẩu trùng nhau.
"Please select State/Province.","Please select State/Province."
Please select an option.,Vui lòng lựa chọn một tùy chọn.
Please select one of the above options.,Vui lòng lựa chọn một trong những tùy chọn trên đây.
Please select one of the options.,Vui lòng lựa chọn một trong những tùy chọn.
"Please use in this field only ""a-z,0-9,_"".","Vui lòng chỉ sử dụng các chữ hoặc số bao gồm ""a-z,0-9,_""."
Please use letters only (a-z) in this field.,Vui lòng chỉ sử dụng chữ (a-z) trong trường này.
Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.,"Vui lòng chỉ sử dụng số trong trường này. Tránh ký tự đặc biệt như dấu cách, dấu phẩy hoặc dấu chấm."
Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,Vui lòng chỉ sửu dụng chữ (a-z) hoặc các số (0-9) trong trường này. Không sử dụng dấu cách hoặc ký tự đặc biệt khác.
Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.,Vui lòng chỉ sử dụng chữ (a-z) hoặc số (0-9) hoặc dấu cách và # trong trường này.
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",Vui lòng sử dụng định dạng ngày: dd/mm/yyyy. Ví dụ 18/06/2009 Cho ngày 18 tháng 6 năm 2009.
"Please wait, loading...","Vui lòng đợi, đang tải..."
Prev. month (hold for menu),Tháng trước (Giữ menu)
Prev. year (hold for menu),Năm ngoái (Giữ menu)
Previous page,Trang trước
Price,Giá
Price:,Giá:
Primary Billing Address,Địa chỉ thanh toán chính
Product,Sản phẩm
Products,Các sản phẩm
Profile Information,Thông tin profile
"Provided Files","Provided Files"
Qty,Slượng
Read details,Xem chi tiết
Recommended,Đề xuất
"Remote FTP","Remote FTP"
"Remote URL:","Remote URL:"
Resource Access,Nguồn truy nhập
Resources,Các nguồn
Role,Vai trò (role)
Role Users,Vai trò các người dùng
Roles,Các vai trò
"Roles Resources","Roles Resources"
"SKU","Mã sản phẩn"
"SKU:","Mã sản phẩn:"
Select All,Chọn tất cả
Select Date,Chọn ngày
Select Range,Chọn khoảng
Select Visible,Chọn hiển thị
Select date,Chọn ngày
Shipment Comments,Các đánh giá vận chuyển
Shipment History,Lịch sử vận chuyển
Shipping Address,Địa chỉ chuyển hàng
Shipping address selection is not applicable,Địa chỉ chuyển hàng không phù hợp
Shipping method selection is not applicable,Hình thức vận chuyển không phù hợp
Show Report for,Xem báo cáo cho
Show by,Hiển thị bằng
Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.,Một số mục (item) trong đơn hàng có hóa đơn và loại vận chuyển khác nhau. Bạn có thể tạo vận chuyển chỉ sau khi hóa đơn đã được khởi tạo
Sort Order,Sắp xếp đơn hàng
Spreadsheet Name:,Tên bảng tính:
Start Date,Ngày bắt đầu
"State/Province:","State/Province:"
Status,Trạng thái
Status:,Trạng thái:
Stock Quantity:,Số lượng lưu kho:
Store:,Kho hàng:
Subpackage,Gói con
Subpackages,Các gói con
Summary:,Tổng hợp:
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) Only"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) card issue number: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s"
The information in this tab has been changed.,Thông tin trong thẻ (tab) này đã được thay đổi.
This is a required field.,Thông tin trường này là bắt buộc
This tab contains invalid data. Please solve the problem before saving.,Thẻ (tab) này chứa dữ liệu không chính xác. Vui lòng kiểm tra trước khi lưu.
"Thumbnail","Thumbnail"
Time selection:,Lựa chọn thời gian:
Time:,Thời gian:
To,Đến
Top 5 Search Terms,5 từ khóa tìm nhiều nhất
Total %d records found,Tổng số %d kết quả đã tìm được
"Track order","Track order"
"Track this shipment","Track this shipment"
Type,Loại
Type:,Loại:
Unable to login.,Không thể đăng nhập.
Unselect All,Hủy chọn tất cả
Unselect Visible,Hủy hiển thị
Upgrade All Available Packages,Cật nhật tất cả các gói có thể
"Upload Local File","Upload Local File"
"Upload local file:","Upload local file:"
Use Default Value,Sử dụng giá trị mặc định
User,Người dùng
User Name,Tên người dùng
User Roles,Các vai trò của người dùng
User name,Người dùng
Users,Các người dùng
"Value Delimiter:","Value Delimiter:"
Version:,Phiên bản:
View,Xem
View Statistics for,Xem trạng thái cho
"Visibility:","Visibility:"
Warning! Empty value can cause problems with CSV format.,Cảnh báo! Giá trị trống có thể gây lỗi với định dạng CSV.
Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?,Cảnh báo!\r\nHành động này sẽ xóa người dùng trong vai trò đã được phân định\r\nBạn có chắc không?
Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?,Cảnh báo!\r\nHành động này sẽ xóa những người dùng trong vai trò đã được phân định\r\nBạn có chắc không?
Web Services,Các dịch vụ web
Web Services Configuration,Cấu hình các dịch vụ web
What is this?,Đây là gì?
Yes,Có
You have,Bạn có
Your Account has been deactivated.,Tài khoản của bạn đã ngừng kích hoạt.
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files."
"Zip/Postal Code:","Zip/Postal Code:"
"critical","critical"
"images/logo.gif","images/logo.gif"
items selected,Các item được chọn
"major","major"
"md5sum","md5sum"
"minor","minor"
"notice","notice"
of %s pages,của %s trang
per page,trên một trang
to,đến
