//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"An error occurred while rebuilding the search index.","Lỗi trong khi xây dựng lại chỉ mục tìm kiếm."
"An error occurred while refreshing the Catalog Rewrites.","Lỗi trong khi làm mới sao chép danh mục sản phẩm."
"An error occurred while refreshing the Layered Navigation indices.","Lỗi trong khi làm mới chỉ mục điều hướng phân lớp."
"An error occurred while refreshing the catalog rewrites.","Lỗi trong khi làm mới sao chép danh mục sản phẩm."
"An error occurred while refreshing the layered navigation indices.","Lỗi trong khi làm mới chỉ mục điều hướng phân lớp."
"An error occurred while saving URL Rewrite.","Lỗi trong khi lưu sao chép URL."
"An error occurred while saving account.","Lỗi trong khi lưu tài khoản."
"An error occurred while saving review.","Lỗi trong khi lưu nhận xét."
"An error occurred while saving the customer.","Lỗi trong khi lưu khách hàng."
"An error occurred while saving this configuration:","Lỗi trong khi lưu cấu hình này:"
"An error occurred while saving this role.","Lỗi trong khi lưu vai trò này."
"An error occurred while saving this template.","Lỗi trong khi lưu mẫu này."
"An error occurred while updating the selected review(s).","Lỗi trong khi cập nhật (các) nhận xét được chọn."
"Any","Bất kỳ"
"Any Attribute Set","Bất kỳ nhóm thuộc tính nào"
"Any Group","Bất kỳ nhóm nào"
"Any Status","Bất kỳ trạng thái nào"
"Any Store","Bất kỳ cửa hàng nào"
"Any Type","Bất kỳ loại nào"
"Any Visibility","Bất kỳ khả năng hiển thị nào"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Mọi dữ liệu được tạo ra kể từ khi sao lưu đã được thực hiện sẽ bị mất bao gồm cả người sử dụng quản trị, khách hàng và đơn đặt hàng."
"Archive file name:","Tên tập tin lưu trữ:"
"Are you sure that you want to delete this template?","Quý khách có chắc chắn muốn xóa mẫu này?"
"Are you sure that you want to strip tags?","Quý khách có chắc chắn muốn gỡ các thẻ này?"
"Are you sure you want to do this?","Quý khách có chắc chắn muốn làm điều này?"
"Are you sure you want to proceed?","Quý khách có chắc chắn muốn tiếp tục?"
"Area","Khu vực"
"As low as:","Thấp nhất là:"
"Assigned","Được gán"
"Associated Tags","Các thẻ liên quan"
"Attribute Set Name:","Tên nhóm thuộc tính:"
"Attributes","Các thuộc tính"
"Authorization confirmed","Ủy quyền được xác nhận"
"Authorize","Ủy quyền"
"Authorize application","Ủy quyền ứng dụng"
"Authorized OAuth Tokens","Thẻ xác thực ủy quyền OAuth"
"Automatic (equalize price ranges)","Tự động (cân bằng giá dao động)"
"Automatic (equalize product counts)","Tự động (cân bằng số lượng sản phẩm)"
"Average Order Amount","Trung bình số tiền đặt hàng"
"Average Orders","Trung bình các đơn hàng"
"BINARY","SỐ NHỊ PHÂN"
"Back","Quay lại"
"Back to Login","Quay lại trang đăng nhập"
"Backup","Sao lưu"
"Backup Name","Tên sao lưu"
"Backup options","Tùy chọn sao lưu"
"Backups","Sao lưu"
"Base currency","Đồng tiền cơ bản"
"Bcc","Bcc"
"Bestsellers","Bán chạy nhất"
"Billing Address","Địa chỉ thanh toán"
"Billing Address: ","Địa chỉ thanh toán: "
"Billing Agreement","Thỏa thuận thanh toán"
"Billing Agreements","Các thỏa thuận thanh toán"
"Block Information","Thông tin khối"
"Both (without and with tax)","Cả hai (không và bao gồm thuế)"
"Both IPN and PDT","Cả hai IPN và PDT"
"Browse Files...","Duyệt các tập tin..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Gói sản phẩm có giá cả thay đổi không thể bao gồm các tùy chọn được xác định. Các tùy chọn sẽ không được lưu."
"CMS","CMS"
"CRITICAL","QUAN TRỌNG"
"CSV","CSV"
"CSV / Tab separated","CSV/ Thẻ riêng rẽ"
"Cache Control","Tùy chọn bộ nhớ đệm"
"Cache Control (beta)","Kiểm soát bộ nhớ đệm (beta)"
"Cache Management","Quản lý Bộ nhớ đệm"
"Cache Type","Loại bộ nhớ đệm"
"Cancel","Hủy bỏ"
"Cannot add new comment.","Không thể thêm bình luận mới."
"Cannot add tracking number.","Không thể thêm số theo dõi."
"Cannot create an invoice without products.","Không thể tạo hóa đơn không có sản phẩm."
"Cannot create credit memo for the order.","Không thể tạo bản ghi tín dụng cho đơn hàng."
"Cannot delete the design change.","Không thể xóa thay đổi thiết kế."
"Cannot delete tracking number.","Không thể xóa số theo dõi."
"Cannot do shipment for the order separately from invoice.","Không thể chuyển hàng theo đơn hàng tách khỏi hóa đơn."
"Cannot do shipment for the order.","Không thể chuyển hàng theo đơn hàng này."
"Cannot initialize shipment for adding tracking number.","Không thể tạo lô hàng cho số theo dõi được thêm vào."
"Cannot initialize shipment for delete tracking number.","Không thể tạo lô hàng cho số theo dõi bị xóa."
"Cannot load track with retrieving identifier.","Không thể tải theo dõi cho định danh nhận được."
"Cannot retrieve tracking number detail.","Không thể nhận được chi tiết số theo dõi."
"Cannot save shipment.","Không thể lưu lô hàng."
"Cannot save the credit memo.","Không thể lưu bản ghi tín dụng"
"Cannot send shipment information.","Không thể gửi thông tin lô hàng."
"Cannot update item quantity.","Không thể cập nhật số lượng mặt hàng."
"Cannot update the item\'s quantity.","Không thể cập nhật số lượng mặt hàng."
"Catalog","Danh mục"
"Catalog Price Rules","Danh mục các quy tắc giá"
"Catalog Rewrites","Sao chép danh mục"
"Categories","Các nhóm sản phẩm"
"Category:","Nhóm sản phẩm:"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Biểu đồ đã được vô hiệu. Nếu Quý khách muốn kích hoạt biểu đồ, xin bấm vào <a href=""%s"">đây</a>."
"Checkbox","Hộp kiểm"
"Child Transactions","Các giao dịch con"
"Choose Store View:","Chọn không gian cửa hàng:"
"Choose an attribute","Chọn một thuộc tính"
"Chosen category does not associated with any website, so url rewrite is not possible.","Chọn nhóm sản phẩm không gắn với bất kỳ website nào, vì vậy, không thể nhận được sao chép URL."
"Chosen product does not associated with any website, so url rewrite is not possible.","Chọn sản phẩm không liên quan đến bất kỳ website nào, vì vậy, không thể nhận được sao chép URL."
"Clear","Xóa"
"Close","Đóng"
"Comment text field cannot be empty.","Trường văn bản bình luận không thể để trống."
"Complete","Hoàn thành"
"Configuration","Cấu hình"
"Confirm New Password","Xác nhận mật khẩu mới"
"Confirm token authorization Pop Up for admin","Xác nhận Pop Up thẻ xác thực ủy quyền cho quản trị"
"Confirm token authorization for admin","Xác nhận thẻ xác thực ủy quyền cho quản trị"
"Confirmation Of Authorization","Xác nhận ủy quyền"
"Confirmed email:","Xác nhận thư điện tử:"
"Connect with the Magento Community","Kết nối với STCMeCOM"
"Continue","Tiếp tục"
"Convert to Plain Text","Chuyển đổi sang văn bản dạng đơn giản"
"Cookie (unsafe)","Cookie (Không an toàn)"
"Country","Quốc gia"
"Country:","Quốc gia:"
"Coupons","Các phiếu giảm giá"
"Create","Tạo mới"
"Create DB Backup","Tạo bản sao cơ sở dữ liệu"
"Create New Attribute","Tạo thuộc tính mới"
"Create URL Rewrite:","Tạo sao chép URL:"
"Created At","Được tạo vào"
"Credit Card %s","Thẻ tín dụng %s"
"Credit Memo History","Lịch sử bản ghi tín dụng"
"Credit Memo Totals","Tổng số bản ghi tín dụng"
"Credit Memos","Các bản ghi tín dụng"
"Credit memo #%s comment added","Ghi chú cho bản ghi tín dụng #%s đã được thêm vào"
"Credit memo #%s created","Bản ghi tín dụng #%s đã được tạo"
"Credit memo\'s total must be positive.","Tổng số bản ghi tín dụng phải là số dương."
"Currency","Tiền tệ"
"Currency ""%s"" is used as %s in %s.","Đồng tiền ""%s"" được sử dụng như %s trong %s."
"Currency Information","Thông tin tiền tệ"
"Currency Setup Section","Khu vực thiết lập tiền tệ"
"Current Configuration Scope:","Phạm vi cấu hình hiện tại:"
"Current Month","Tháng này"
"Custom","Tùy chỉnh"
"Custom Variable ""%s""","Tùy chỉnh biến ""%s"""
"Custom Variables","Tùy chỉnh các biến"
"Customer","Khách hàng"
"Customer Group:","Nhóm khách hàng:"
"Customer Groups","Các nhóm khách hàng"
"Customer Name","Tên khách hàng"
"Customer Reviews","Nhận xét của khách hàng"
"Customer Shopping Carts","Giỏ hàng của khách"
"Customer Since:","Khách hàng từ:"
"Customer Tax Classes","Các mức thuế khách hàng"
"Customer with the same email already exists.","Thư điện tử này của khách hàng đã được sử dụng."
"Customers","Khách hàng"
"Customers by Number of Orders","Các khách hàng theo số các đơn hàng"
"Customers by Orders Total","Các khách hàng theo tổng số đơn hàng"
"DHTML Date/Time Selector","Chọn Ngày/Giờ DHTML"
"Dashboard","Bảng điều khiển"
"Data Format","Định dạng dữ liệu"
"Data transfer:","Chuyển dữ liệu:"
"Database","Cơ sở dữ liệu"
"Dataflow - Advanced Profiles","Lưu lượng dữ liệu - Các hồ sơ cao cấp"
"Dataflow - Profiles","Lưu lượng dữ liệu - Các hồ sơ"
"Date","Ngày"
"Date & Time","Ngày và Giờ"
"Date Added","Ngày thêm vào"
"Date Updated","Ngày cập nhật"
"Date selection:","Chọn ngày:"
"Date selector","Chọn ngày"
"Day","Ngày"
"Decimal separator:","Tách thập phân:"
"Default (Admin) Values","Các giá trị (Quản trị) mặc định"
"Default Billing Address","Địa chỉ thanh toán mặc định"
"Default Config","Cấu hình mặc định"
"Default Template from Locale","Mẫu mặc định trong hệ thống"
"Default Values","Các giá trị mặc định"
"Default display currency ""%s"" is not available in allowed currencies.","Không hiển thị được loại đồng tiền mặc định ""%s"" trong các loại tiền tệ cho phép."
"Default scope","Phạm vi mặc định"
"Delete","Xóa"
"Delete %s","Xóa %s"
"Delete %s '%s'","Xóa %s '%s'"
"Delete File","Xóa tập tin"
"Delete Image","Xóa hình ảnh"
"Delete Profile","Xóa hồ sơ"
"Delete Role","Xóa vai trò"
"Delete Store","Xóa cửa hàng"
"Delete Store View","Xóa không gian cửa hàng"
"Delete Template","Xóa mẫu"
"Delete User","Xóa thành viên"
"Delete Website","Xóa website"
"Description","Mô tả"
"Design","Thiết kế"
"Design Section","Khu vực thiết kế"
"Details","Các chi tiết"
"Developer Section","Khu vực nhà phát triển"
"Direction:","Hướng:"
"Disable","Vô hiệu hóa"
"Disabled","Đã được vô hiệu"
"Display %s first","Hiển thị %s trước"
"Display default currency","Hiển thị đồng tiền mặc định"
"Distributed under GNU LGPL. See %s for details.","Được phân phối bới GNU LGPL. Xem %s để biết thêm chi tiết."
"Do you really want to KILL parallel process and start new indexing process?","Quý khách có thực sự muốn KẾT THÚC quá trình song song và bắt đầu quá trình lập chỉ mục mới?"
"Do you really want to proceed?","Quý khách có thực sự muốn tiếp tục?"
"Download","Tải xuống"
"Downloads","Tải xuống"
"Drag to move","Kéo và di chuyển"
"Drop-down","Thả xuống"
"Edit","Chỉnh sửa"
"Edit Design Change","Chỉnh sửa thay đổi thiết kế"
"Edit Email Template","Chỉnh sửa mẫu thư điện tử"
"Edit Order","Chỉnh sửa đơn hàng"
"Edit Poll","Chỉnh sửa bình chọn"
"Edit Queue","Chỉnh sửa chờ duyệt"
"Edit Review","Chỉnh sửa nhận xét"
"Edit Role","Chỉnh sửa vai trò"
"Edit Store View","Chỉnh sửa không gian cửa hàng"
"Edit System Template","Chỉnh sửa mẫu hệ thống"
"Edit Template","Chỉnh sửa mẫu"
"Edit URL Rewrite","Chỉnh sửa sao chép URL"
"Edit User","Chỉnh sửa thành viên"
"Edit User '%s'","Chỉnh sửa thành viên '%s'"
"Edit Website","Chỉnh sửa website"
"Email","Thư điện tử"
"Email Address:","Địa chỉ thư điện tử:"
"Email Preview","Xem trước thư điện tử"
"Email to a Friend","Gửi thư điện tử tới bạn bè"
"Email:","Thư điện tử:"
"Enable","Kích hoạt"
"Enabled","Đã được kích hoạt"
"Enclose Values In:","Kèm theo các giá trị trong:"
"Entity Attributes","Entity Attributes"
"Entity Type","Loại thực thể"
"Entity type:","Loại thực thể:"
"Error","Lỗi"
"Excel XML","Excel XML"
"Excl. Tax","Trước thuế"
"Exclude media folder from backup","Loại thư mục truyền thông khỏi sao lưu"
"Export","Kết xuất"
"Export CSV","Kết xuất CSV"
"Export Filters","Kết xuất các bộ lọc"
"Export to:","Kết xuất ra:"
"Export:","Kết xuất:"
"FTP Host","Máy chủ FTP"
"FTP Host[:Port]","Máy chủ FTP [:Port]"
"FTP Login","Đăng nhập FTP"
"FTP Password","Mật khẩu FTP"
"FTP credentials","Thông tin FTP"
"Failed to add a product to cart by id ""%s"".","Không thể thêm sản phẩm có id ""%s"" vào giỏ hàng."
"Failed to cancel the billing agreement.","Không thể hủy thỏa thuận thanh toán."
"Failed to clear the JavaScript/CSS cache.","Không thể xóa bộ nhớ đệm JavaScript/CSS."
"Failed to delete the billing agreement.","Không thể xóa thỏa thuận thanh toán."
"Failed to update the profile.","Không thể cập nhật hồ sơ này."
"Field","Trường"
"Field Mapping","Trường bản đồ hóa"
"File","Tập tin"
"File Information","Thông tin tập tin"
"File System","Hệ thống tập tin"
"File mode","Dạng tập tin"
"File name:","Tên tập tin:"
"File size should be more than 0 bytes","Kích thước tập tin nên lớn hơn 0 bytes"
"Finished profile execution.","Kết thúc thực hiện hồ sơ."
"First Invoice Created Date","Ngày tạo hóa đơn đầu tiên"
"First Name","Tên"
"First Name is required field.","Tên là trường bắt buộc phải nhập."
"First Name:","Tên:"
"Fixed","Cố định"
"Flush Catalog Images Cache","Xóa bộ nhớ đệm hình ảnh danh mục"
"Flush JavaScript/CSS Cache","Xóa bộ nhớ đệm JavaScript/CSS"
"For category","Cho nhóm sản phẩm"
"For latest version visit: %s","Để ghé thăm phiên bản mới nhất: %s"
"For product","Cho sản phẩm"
"Forgot Admin Password","Quên mật khẩu quản trị"
"Forgot your password?","Quên mật khẩu?"
"Forgot your user name or password?","Quên tên đăng nhập hoặc mật khẩu?"
"From","Từ"
"GLOBAL","TOÀN HỆ THỐNG"
"Gb","Gb"
"General Information","Thông tin chung"
"General Section","Khu vực chung"
"Get Image Base64","Nhận hình ảnh Base64"
"Get help for this page","Nhận trợ giúp cho trang này"
"Give the verifier code to application administrator","Cung cấp mã xác minh cho quản trị ứng dụng"
"Global Attribute","Thuộc tính toàn hệ thống"
"Global Record Search","Tìm bản ghi toàn hệ thống"
"Global Search","Tìm kiếm toàn hệ thống"
"Go Today","Đến ngày hôm nay"
"Go to messages inbox","Mở hộp thư đến"
"Go to notifications","Mở các thông báo"
"Google Base","Google Base"
"Google Sitemaps","Google Sitemaps"
"Grand Total","Tổng tiền"
"Grid (default) / List","Lưới (mặc định)/ Danh sách"
"Grid Only","Chỉ dạng lưới"
"Group:","Nhóm:"
"Guest","Khách chưa đăng nhập"
"HTTP (unsecure)","HTTP (không an toàn)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","Chúng tôi rất mong nhận được thông báo lỗi từ Quý khách"
"Helper attributes should not be used in custom layout updates.","Các thuộc tính trợ giúp không nên sử dụng trong các bản cập nhật bố trí tùy chỉnh."
"Helper for options rendering doesn't implement required interface.","Trợ giúp cho biểu hiện các tùy chọn không thực hiện mẫu yêu cầu."
"Home","Trang chủ"
"ID","ID"
"ID Path","Đường dẫn ID"
"IP Address","Địa chỉ IP"
"IPN (Instant Payment Notification) Only","Chỉ dành cho thông báo thanh toán tức thời (IPN)"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Nếu có một tài khoản gắn với %s Quý khách sẽ nhận được thư điện tử gửi liên kết đặt lại mật khẩu."
"If this message persists, please contact the store owner.","Nếu vẫn nhận được thông báo này, xin liên hệ với chủ cửa hàng."
"Images (.gif, .jpg, .png)","Các hình ảnh (.gif, .jpg, .png)"
"Images Cache","Bộ nhớ đệm hình ảnh"
"Import","Nhập vào"
"Import Service","Dịch vụ nhập vào"
"Import and Export","Nhập vào và Kết xuất"
"Import and Export Tax Rates","Tỷ lệ thuế nhập và xuất"
"Import/Export","Nhập vào/ Kết xuất"
"Import/Export Advanced","Nhập vào/ Kết xuất cao cấp"
"Import/Export Profile","Hồ sơ Nhập vào/ Kết xuất"
"Important: ","Quan trọng: "
"Imported <strong>%s</strong> records","Bản ghi <strong>%s</strong> đã được nhập vào"
"In","Trong"
"In Database:","Trong cơ sở dữ liệu:"
"In File:","Trong tập tin:"
"Inactive","Không hoạt động"
"Incl. Tax","Bao gồm thuế"
"Incoming Message","Tin nhắn đến"
"Insert Variable...","Chèn biến..."
"Interactive","Tương tác"
"Interface Locale: %s","Mẫu hệ thống: %s"
"Invalid Form Key. Please refresh the page.","Khóa định dạng không hợp lệ. Xin làm mới trang."
"Invalid Import Service Specified","Dịch vụ nhập vào được xác định không hợp lệ"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Dữ liệu GỬI LÊN không hợp lệ (xin kiểm tra thiết lập 'post_max_size' và 'upload_max_filesize' trong tập tin 'php.ini')."
"Invalid Secret Key. Please refresh the page.","Khóa bí mật không hợp lệ. Xin làm mới trang."
"Invalid User Name or Password.","Tên đăng nhập hoặc mật khẩu không hợp lệ."
"Invalid directory: %s","Thư mục %s không hợp lệ"
"Invalid email address ""%s"".","Địa chỉ thư điện tử ""%s"" không hợp lệ."
"Invalid email address.","Địa chỉ thư điện tử không hợp lệ."
"Invalid file: %s","Tập tin %s không hợp lệ"
"Invalid input data for %s => %s rate","Dữ liệu đầu vào không hợp lệ cho %s => tỷ giá %s"
"Invalid parent block for this block","Khối gốc cho khối này không hợp lệ"
"Invalid parent block for this block.","Khối gốc cho khối này không hợp lệ."
"Invalid password reset token.","Thẻ xác thực đặt lại mật khẩu không hợp lệ."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Tên người gửi ""%s"" không hợp lệ. Xin chỉ sử dụng các chữ, số và khoảng trống."
"Invalid timezone","Múi giờ không hợp lệ"
"Invalidated","Hết hiệu lực"
"Inventory Stock Status","Trạng thái tồn kho"
"Invoice #%s comment added","Ghi chú cho hóa đơn #%s đã được thêm vào"
"Invoice #%s created","Hóa đơn #%s đã được tạo"
"Invoice History","Lịch sử hóa đơn"
"Invoice Totals","Tổng số hóa đơn"
"Invoice canceling error.","Lỗi hủy hóa đơn."
"Invoice capturing error.","Lỗi lấy hóa đơn."
"Invoice voiding error.","Lỗi hóa đơn hết hiệu lực"
"Invoices","Các hóa đơn"
"Is Closed","Được đóng lại"
"Issue Number","Số phát hành"
"Items","Các mặt hàng"
"JavaScript seems to be disabled in your browser.","Có lẽ JavaScript đã được vô hiệu trong trình duyệt của Quý khách."
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Bộ nhớ đệm JavaScript/CSS"
"Kb","Kb"
"Last 24 Hours","Trong 24 giờ qua"
"Last 5 Orders","5 đơn hàng mới nhất"
"Last 5 Search Terms","5 từ khóa tìm kiếm mới nhất"
"Last 7 Days","Trong 7 ngày qua"
"Last Credit Memo Created Date","Ngày tạo bản ghi tín dụng mới nhất"
"Last Invoice Created Date","Ngày lập hóa đơn mới nhất"
"Last Logged In (%s):","Lần đăng nhập cuối (%s):"
"Last Logged In:","Lần đăng nhập cuối:"
"Last Name","Họ"
"Last Name is required field.","Họ là trường bắt buộc phải nhập."
"Last Name:","Họ:"
"Last updated: %s. To refresh last day\'s <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Ngày cập nhật gần nhất: %s. Để làm mới <a href=""%s"">các thống kê</a>, bấm vào <a href=""%s"">đây</a>."
"Latest Message:","Tin nhắn mới nhất:"
"Layered Navigation Indices","Chỉ mục điều hướng phân lớp"
"Layered Navigation Indices were refreshed.","Chỉ mục điều hướng phân lớp đã được làm mới."
"Leave empty to use tax identifier","Để trống để sử dụng nhận dạng thuế"
"Lifetime Sales","Chu kỳ bán hàng"
"Lifetime statistics have been updated.","Các thống kê chu kỳ đã được cập nhật."
"Links","Các liên kết"
