//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"# of Use","# được sử dụng"
"%1$s incl tax.","%1$s bao gồm thuế."
"%s - %s","%s - %s"
"%s Item(s)","Các mặt hàng %s"
"%s and above","%s và bên trên"
"All","Tất cả"
"All Product Types","Tất cả các loại sản phẩm"
"All Websites","Tất cả các website"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tất cả các sản phẩm của nhóm này sẽ được xóa! Quý khách có chắc chắn muốn xóa nhóm thuộc tính này?"
"Allow All Products per Page","Cho phép tất cả các sản phẩm mỗi trang"
"Allow Dynamic Media URLs in Products and Categories","Cho phép các URL truyền thông động trong các sản phẩm và các nhóm sản phẩm"
"Allow HTML Tags on Frontend","Cho phép các thẻ HTML trên giao diện khách hàng"
"Allowed File Extensions","Các phần mở rộng tập tin cho phép"
"Allowed file extensions to upload","Các phần mở rộng tập tin cho phép tải lên"
"An error occurred while adding products to websites.","Lỗi trong khi thêm các sản phẩm vào các website."
"An error occurred while clearing comparison list.","Lỗi trong khi xóa danh sách so sánh."
"An error occurred while deleting this review.","Lỗi trong khi xóa nhận xét này."
"An error occurred while removing products from websites.","Lỗi trong khi loại các sản phẩm khỏi các website."
"An error occurred while saving the URL rewrite","Lỗi trong khi lưu các sao chép URL"
"An error occurred while saving the attribute set.","Lỗi trong khi lưu các nhóm thuộc tính."
"An error occurred while saving the collection, aborting. Error message: %s","Lỗi trong khi lưu các tập hợp, hủy bỏ. Thông báo lỗi: %s"
"An error occurred while saving the product. ","Lỗi trong khi lưu sản phẩm. "
"An error occurred while saving the search query.","Lỗi trong khi lưu truy vấn tìm kiếm."
"An error occurred while saving this group.","Lỗi trong khi lưu nhóm này."
"An error occurred while saving this review.","Lỗi trong khi lưu nhận xét này."
"An error occurred while trying to delete the category.","Lỗi trong khi cố gắng xóa nhóm sản phẩm."
"An error occurred while updating the product(s) attributes.","Lỗi trong khi cập nhật các thuộc tính (các) sản phẩm."
"An error occurred while updating the product(s) status.","Lỗi trong khi cập nhật trạng thái (các) sản phẩm."
"An invalid group ID is specified, skipping the record.","ID nhóm được xác định không hợp lệ, bỏ qua bản ghi."
"An invalid option ID is specified for %s (%s), skipping the record.","ID tùy chọn được xác định cho %s (%s) không hợp lệ, bỏ qua bản ghi."
"An invalid store was specified.","Cửa hàng được xác định không hợp lệ."
"Anchor Custom Text","Văn bản tùy chỉnh mẩu neo"
"Anchor Custom Title","Tiêu đề tùy chỉnh mẩu neo"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Chỉ áp dụng cho danh mục các sản phẩm và các nhóm sản phẩm. Bất kỳ nội dung truyền thông nào sẽ được chèn vào trình soạn thảo như URL tĩnh. Nó không được cập nhật nếu cấu hình hệ thống dựa trên các thay đổi URL."
"Apply MAP (Default Value)","Áp dụng MAP (Giá trị mặc định)"
"Apply To","Áp dụng vào"
"Approved","Được duyệt"
"Are you sure you want to delete this category?","Quý khách có muốn xóa nhóm sản phẩm này?"
"Are you sure you would like to remove all products from your comparison?","Quý khách có muốn loại bỏ tất cả các mặt hàng này khỏi các sản phẩm so sánh?"
"Are you sure you would like to remove this item from the compare products?","Quý khách có muốn loại bỏ mặt hàng này khỏi các sản phẩm so sánh?"
"Are you sure?","Quý khách có chắc chắn không?"
"As low as:","Thấp nhất là:"
"Assign","Gán"
"Assign product link","Gán liên kết sản phẩm"
"Assign product to category","Gán sản phẩm đến nhóm sản phẩm"
"Assigned Products","Assigned Products"
"Associated Products","Các sản phẩm được gán"
"Attrib. Set Name","Tên nhóm thuộc tính"
"Attribute ""%s"" is invalid.","Thuộc tính ""%s"" không hợp lệ."
"Attribute ""%s"" is required.","Thuộc tính ""%s"" bắt buộc phải nhập."
"Attribute Information","Thông tin thuộc tính"
"Attribute Model","Mô hình thuộc tính"
"Attribute Name:","Tên thuộc tính:"
"Attribute Set","Nhóm thuộc tính"
"Attribute Sets","Các nhóm thuộc tính"
"Attribute add","Thuộc tính thêm"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Mã thuộc tính không hợp lệ. Xin chỉ sử dụng các chữ (a-z), các số (0-9) or gạch dưới(_) trong trường này, ký tự bắt đầu nên là chữ."
"Attribute group with the \"/name/\" name already exists","Nhóm thuộc tính có tên \"/name/\" đã được sử dụng"
"Attribute remove","Loại bỏ thuộc tính"
"Attribute with the same code already exists","Mã thuộc tính đã được sử dụng"
"Attributes","Các thuộc tính"
"Attrribute names can be specified per store.","Các tên thuộc tính có thể được phân biệt theo cửa hàng."
"Autogenerate","Tự động tạo ra"
"Availability:","Trạng thái:"
"Back","Quay lại"
"Backend Model","Mô hình giao diện quản trị"
"Backend Table","Bảng giao diện quản trị"
"Backend Table Title","Tiêu đề bảng giao diện quản trị"
"Backorders","Các đơn hàng tồn đọng"
"Based On","Được dựa trên"
"Before Order Confirmation","Trước khi xác nhận đặt hàng"
"Best Value","Giá trị tốt nhất"
"Block after Info Column","Khối sau cột thông tin"
"Bottom Block Options Wrapper","Gói các tùy chọn khối chân"
"Bottom/Left","Dưới/Trái"
"Bottom/Right","Dưới/Phải"
"Browse By","Duyệt theo"
"Bundle Items","Các mặt hàng đóng gói"
"Buy %1$s","Mua %1$s"
"Buy %1$s for","Mua %1$s cho"
"Buy %1$s for %2$s","Mua %1$s cho %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mua %1$s cho mỗi %2$s (đã bao gồm thuế %3$s)"
"Buy %1$s for %2$s each","Mua %1$s cho mỗi %2$s"
"Cache Lifetime (Seconds)","Bộ nhớ đệm chu kỳ (giây)"
"Cache refresh needed.","Cần làm mới bộ nhớ đệm."
"Can be Divided into Multiple Boxes for Shipping","Có thể chia thành nhiều hộp để giao vận"
"Can be used only with catalog input type Dropdown","Chỉ có thể sử dụng cho loại đầu vào danh mục thả xuống"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Chỉ có thể sử dụng cho loại đầu vào danh mục thả xuống, tùy chọn nhiều đối tượng và giá cả"
"Can\'t create image.","Không tạo được hình ảnh."
"Cancel","Hủy bỏ"
"Cannot create image.","Không tạo được hình ảnh."
"Cannot create writeable directory '%s'.","Không tạo được thư mục cho phép ghi '%s'."
"Cart Item Attribute","Thuộc tính mặt hàng giỏ hàng"
"Catalog","Danh mục"
"Catalog Category (Anchor)","Danh mục nhóm sản phẩm (mẩu neo)"
"Catalog Category (Non-Anchor)","Danh mục nhóm sản phẩm (không mẩu neo)"
"Catalog Category (Without Subcategories)","Danh mục nhóm sản phẩm (không có nhóm sản phẩm con)"
"Catalog Category Link","Liên kết danh mục nhóm sản phẩm"
"Catalog New Products List","Danh mục danh sách các sản phẩm mới"
"Catalog Price Scope","Danh mục phạm vi giá"
"Catalog Product Compare List","Danh mục danh sách so sánh sản phẩm"
"Catalog Product Email to a Friend","Gửi thư điện tử danh mục sản phẩm tới bạn bè"
"Catalog Product Image Gallery Popup","Danh mục popup tập hợp hình ảnh sản phẩm"
"Catalog Product Link","Danh mục liên kết sản phẩm"
"Catalog Product View (Any)","Danh mục xem sản phẩm (bất kỳ)"
"Catalog Product View (Configurable)","Danh mục xem sản phẩm (cấu hình)"
"Catalog Product View (Grouped)","Danh mục xem sản phẩm (phân nhóm)"
"Catalog Product View (Simple)","Danh mục xem sản phẩm (đơn giản)"
"Catalog Product View (Virtual)","Danh mục xem sản phẩm (ảo)"
"Catalog Section","Khu vực danh mục"
"Catalog Seo Sitemap (Category List)","Danh mục sitemap SEO (danh sách nhóm sản phẩm)"
"Catalog Seo Sitemap (Category Tree)","Danh mục sitemap SEO (cây nhóm sản phẩm)"
"Catalog Seo Sitemap (Common)","Danh mục sitemap SEO (chung)"
"Catalog Seo Sitemap (Product List)","Catalog sitemap SEO (Product List)"
"Catalog URL Rewrites","Danh mục sao chép URL"
"Catalog product custom option values API","Danh mục API các giá trị tùy chọn tùy chỉnh sản phẩm"
"Catalog product custom options API","Danh mục API các tùy chọn tùy chỉnh sản phẩm"
"Catalog, Search","Danh mục, Tìm kiếm"
"Categories","Các nhóm sản phẩm"
"Categories Sitemap","Sitemap các nhóm sản phẩm"
"Category","Nhóm sản phẩm"
"Category API","API nhóm sản phẩm"
"Category Data","Dữ liệu nhóm sản phẩm"
"Category Flat Data","Dữ liệu phẳng nhóm sản phẩm"
"Category Link Block Template","Mẫu khối liên kết nhóm sản phẩm"
"Category Link Inline Template","Mẫu nội tuyến liên kết nhóm sản phẩm"
"Category Products","Các nhóm sản phẩm"
"Category Top Navigation","Điều hướng đầu nhóm sản phẩm"
"Category URL Suffix","Hậu tố URL nhóm sản phẩm"
"Category attributes API","API các thuộc tính nhóm sản phẩm"
"Category move error","Lỗi di chuyển nhóm sản phẩm"
"Category move operation is not possible: parent category is equal to child category.","Không thể thực hiện di chuyển nhóm sản phẩm: nhóm gốc bằng nhóm con."
"Category move operation is not possible: the current category was not found.","Không thể thực hiện di chuyển nhóm sản phẩm: không tìm thấy nhóm hiện tại."
"Category move operation is not possible: the new parent category was not found.","Không thể thực hiện di chuyển nhóm sản phẩm: không tìm thấy nhóm gốc mới."
"Category must be an instance of Mage_Catalog_Model_Category.","Nhóm sản phẩm phải thể hiện của Mage_Catalog_Model_Category."
"Center","Giữa"
"Change","Thay đổi"
"Change or Retrieve attribute store view","Thay đổi hoặc nhận thuộc tính không gian cửa hàng"
"Change status","Trạng thái thay đổi"
"Check items to add to the cart or","Kiểm tra các mặt hàng được thêm vào giỏ hàng hoặc"
"Choose an Option...","Chọn một tùy chọn..."
"Clear All","Xóa hết"
"Clear Price","Xóa giá"
"Click for price","nhấn vào đây cho giá"
"Close Window","Đóng cửa sổ trình duyệt"
"Collapse All","Collapse All"
"Comma-separated.","Tách bởi dấy phảy."
"Comparable","So sánh"
"Comparable on Front-end","So sánh trên giao diện khách hàng"
"Comparable on the Frontend","So sánh trên giao diện khách hàng"
"Compare","So sánh"
"Compare Products","So sánh các sản phẩm"
"Conditions Combination","Điều kiện kết hợp"
"Configurable Product","Sản phẩm cấu hình"
"Configurable Product Settings","Thiết lập sản phẩm cấu hình"
"Configure Product","Cấu hình sản phẩm"
"Continue","Tiếp tục"
"Copy From Configurable","Sao chép từ sản phẩm cấu hình"
"Country/State","Quốc gia/Bang"
"Create","Tạo mới"
"Create (Upload)","Tạo mới (Tải lên)"
"Create Empty","Tạo rỗng"
"Create Permanent Redirect for URLs if URL Key Changed","Tạo chuyển hướng cố định cho các URL khi khóa URL thay đổi"
"Create Permanent Redirect for old URL","Tạo chuyển hướng cố định cho URL cũ"
"Create Product Settings","Tạo các thiết lập sản phẩm"
"Create Simple Associated Product","Tạo sản phẩm liên quan đơn giản"
"Create attribute set based on another set","Tạo nhóm thuộc tính dựa trên nhóm khác"
"Create new attribute","Tạo thuộc tính mới"
"Create new category","Tạo nhóm sản phẩm mới"
"Create new product","Tạo sản phẩm mới"
"Cross-sells","Bán thêm sản phẩm liên quan (cross-sells)"
"Currently Shopping by:","Quý khách hiện đang mua sắm theo:"
"Custom Design","Tùy chỉnh thiết kế"
"Custom Options","Tùy chỉnh các tùy chọn"
"Custom options","Tùy chỉnh các tùy chọn"
"Customer Group","Nhóm khách hàng"
"Customers Reviews","Các nhận xét của khách hàng"
"Customers Tagged Product","Sản phẩm được khách hàng gán thẻ"
"Data Type for Saving in Database","Loại dữ liệu được lưu trong cơ sở dữ liệu"
"Date & Time Custom Options","Ngày và giờ tùy chỉnh các tùy chọn"
"Date Fields Order","Thứ tự các trường ngày (?)"
"Date Subscribed","Ngày đăng ký"
"Datetime","Ngày giờ"
"Decimal","Số thập phân"
"Declare attribute value saving scope","Khai báo phạm vi lưu giá trị thuộc tính"
"Default ""What's This"" Text Message","Tin nhắn văn bản ""Đây là gì"" mặc định"
"Default Popup Text Message","Tin nhắn văn bản popup mặc định"
"Default Price","Giá mặc định"
"Default Price Navigation Step","Bước điều hướng giá mặc định"
"Default Qty","Số lượng mặc định"
"Default Values","Các giá trị mặc định"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Xác định phạm vi đồng tiền cơ bản (""Thiết lập tiền tệ"" > ""Tùy chọn tiền tệ"" > ""Đồng tiền cơ bản"")."
"Delete","Xóa"
"Delete Attribute","Xóa thuộc tính"
"Delete Attribute Set","Xóa nhóm thuộc tính"
"Delete Category","Xóa nhóm sản phẩm"
"Delete Group Price","Xóa nhóm giá"
"Delete Option","Xóa tùy chọn"
"Delete Row","Xóa dòng"
"Delete Search","Xóa tìm kiếm"
"Delete Selected Group","Xóa nhóm được chọn"
"Delete Tier","Xóa mức (giá)"
"Delete attribute","Xóa thuộc tính"
"Delete category","Xóa nhóm sản phẩm"
"Delete product","Xóa nhóm sản phẩm"
"Depends on design theme","Phụ thuộc vào theme thiết kế"
"Design","Thiết kế"
"Details","Các chi tiết"
"Disabled","Đã được vô hiệu"
"Disallowed file type.","Loại tập tin không cho phép."
"Display Actual Price","Hiển thị giá thực tế"
"Display Price Interval as One Price","Hiển thị các khoảng giá như một giá"
"Display Product Count","Hiển thị đếm sản phẩm"
"Display in Suggested Terms","Xuất hiện trong các từ khóa được đề nghị"
"Double click on a group to rename it","Bấm đúp trên nhóm để đổi tên nó"
"Double click on above image to view full picture","Bấm đúp trên hình ảnh để xem hình ảnh kích thước thật"
"Downloadable Information","Thông tin có thể tải xuống"
"Duplicate","Bản sao"
"Duplicate website group price customer group.","Bản sao website nhóm khách hàng, nhóm giá."
"Duplicate website tier price customer group and quantity.","Bản sao mức giá, số lượng và nhóm khách hàng."
"Duplicate website, country and state tax found.","Bản sao thuế website, quốc gia và bang được tìm thấy."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ví dụ: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Phân tích đường dẫn động tác động mạnh đến hiệu suất danh mục."
"Edit","Sửa"
"Edit Attribute Set '%s'","Sửa nhóm thuộc tính '%s'"
"Edit Product Attribute","Sửa thuộc tính sản phẩm"
"Edit Product Attribute ""%s""","Sửa thuộc tính sản phẩm ""%s"""
"Edit Search","Sửa tìm kiếm"
"Edit Search '%s'","Sửa tìm kiếm '%s'"
"Edit Set Name","Sửa tên nhóm"
"Email","Thư điện tử"
"Email to a Friend","Gửi thư điện tử tới bạn bè"
"Empty","Rỗng"
"Enable MAP","Kích hoạt MAP"
"Enable Qty Increments","Kích hoạt tăng số lượng"
"Enable WYSIWYG","Kích hoạt WYSIWYG"
"Enabled","Đã được kích hoạt"
"Error during retrieval of option value: %s","Lỗi trong khi thu hồi giá trị tùy chọn: %s"
"Exclude","Loại trừ"
"Expand All","Mở rộng"
"Failed","Thất bại"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Sao chép tập tin %s thất bại. Xin xóa truyền thông không có hình ảnh và thử lại."
"Failed to move file: %s","Di chuyển tập tin %s thất bại"
"Feature Products","Tính năng sản phẩm"
"Field is not complete","Chưa hoàn thành trường"
"File options format is not valid.","Định dạng các tùy chọn tập tin không hợp lệ."
"File upload failed","Tải lên tập tin thất bại"
"Filter model name must be declared.","Phải khai báo tên mô hình bộ lọc."
"Filter must be an object. Please set correct filter.","Bộ lọc phải là một đối tượng. Xin thiết lập bộ lọc chính xác."
"Filterable (no results)","Có thể lọc (không có kết quả)"
"Filterable (with results)","Có thể lọc (có kết quả)"
"First Name","Tên"
"Fixed","Cố định"
"For internal use.","Để sử dụng nội bộ."
"For the last time placed.","Đối với lần cuối được đặt."
"Frontend","Giao diện khách hàng"
"Frontend Model","Mô hình giao diện khách hàng"
"Frontend Properties","Các đặc điểm giao diện khách hàng"
"Gallery","Thư viện ảnh"
"General Information","Thông tin chung"
"Get full information about attribute with list of options","Nhận thông tin đầy đủ về thuộc tính với danh sách các tùy chọn"
"Get full information about custom option in product","Nhận thông tin đầy đủ về tùy chọn tùy chỉnh trong sản phẩm"
"Get list of available custom option types","Nhận danh sách các loại tùy chọn tùy chỉnh có sẵn"
"Get list of non-default attributes by product type and attributes set","Nhận danh sách các thuộc tính phi mặc định bởi loại sản phẩm và nhóm các thuộc tính"
"Get list of possible attribute types","Nhận danh sách các loại thuộc tính có thể"
"Get special price","Nhận giá đặc biệt"
"Global","Toàn hệ thống"
"Globally Editable","Có thể chỉnh sửa toàn hệ thống"
"Go to Home Page","Đến trang chủ"
"Grid","Lưới"
"Group add","Thêm nhóm"
"Group remove","Loại bỏ nhóm"
"Grouped Product","Sản phẩm được phân nhóm"
"Groups","Các nhóm"
"Home","Trang chủ"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Nếu để trống, tên nhóm sản phẩm sẽ được sử dụng"
"If empty, the Product Name will be used","Nếu để trống, tên sản phẩm sẽ được sử dụng"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Nếu Quý khách không xác định một giá trị tùy chọn cho không gian cửa hàng được xác định thì giá trị mặc định (quản trị) sẽ được sử dụng."
"Image","Hình ảnh"
"Image content is not valid base64 data.","Hình ảnh có kiểu dữ liệu base64 không hợp lệ."
"Image does not exist.","Hình ảnh không tồn tại"
"Image file was not found.","Hình ảnh không được xác định."
"Image type and information need to be specified for each store view.","Thông tin và loại hình ảnh cần được xác định cho mỗi không gian cửa hàng."
"In Cart","Trong giỏ hàng"
"In Stock","Còn hàng"
"In stock","Còn hàng"
"Incl. Tax","Bao gồm thuế"
"Index product and categories URL rewrites","Chỉ mục sao chép URL sản phẩm và nhóm sản phẩm"
"Index product attributes for layered navigation building","Chỉ mục các thuộc tính sản phẩm cho việc xây dựng điều hướng phân lớp"
"Index product prices","Chỉ mục giá sản phẩm"
"Indexed category/products association","Liên kết nhóm sản phẩm/ các sản phẩm được lập chỉ mục"
"Info","Thông tin"
"Info Column Options Wrapper","Gói các tùy chọn cột thông tin"
"Input Type","Loại đầu vào"
"Integer","Số nguyên"
"Interval Division Limit","Hạn chế phân chia quãng"
"Invalid Tier Prices","Các mức giá không hợp lệ"
"Invalid attribute %s","Thuộc tính %s không hợp lệ"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Tùy chọn thuộc tính xác định cho thuộc tính %s (%s) không hợp lệ, bỏ qua bản ghi này."
"Invalid attribute set specified, skipping the record.","Nhóm thuộc tính được xác định không hợp lệ, bỏ qua bản ghi này."
"Invalid block: %s.","Khối không hợp lệ: %s"
"Invalid category IDs.","Các ID nhóm hàng hóa không hợp lệ."
"Invalid category.","Nhóm hàng hóa không hợp lệ."
"Invalid image file type.","Loại tập tin hình ảnh không hợp lệ."
"Invalid image type.","Loại hình ảnh không hợp lệ."
"Invalid option ID specified for %s (%s), skipping the record.","ID tùy chọn xác định cho %s (%s) không hợp lệ, bỏ qua bản ghi này."
"Invalid product type specified, skipping the record.","Loại sản phẩm được xác định không hợp lệ, bỏ qua bản ghi này."
"Invalid store specified","Cửa hàng được xác định không hợp lệ"
"Invalid store specified, skipping the record.","Cửa hàng được xác định không hợp lệ, bỏ qua bản ghi."
"Invalid tier prices. The product is not associated to the requested website.","Mức giá không hợp lệ. Sản phẩm không gắn với website yêu cầu."
"Inventory","Sản phẩm tồn kho"
"Is Default","Mặc định là"
"Is Required","Bắt buộc phải nhập"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Các mặt hàng Quý khách không muốn xuất hiện trong danh mục hoặc kết quả tìm kiếm sẽ có trạng thái 'Đã được vô hiệu' trong cửa hàng mong muốn này."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Các mặt hàng Quý khách không muốn xuất hiện trong danh mục hoặc kết quả tìm kiếm sẽ có trạng thái 'Đã được vô hiệu' trong cửa hàng mong muốn này."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Nhãn"
"Last Name","Họ"
"Last Notification","Thông báo mới nhất"
"Layered Navigation","Điều hướng phân lớp"
"Learn More","Tìm hiểu thêm"
"Line %d, Email: %s","Dòng %d, thư điện tử: %s"
"Line %d, SKU: %s","Dòng %d, mã sản phẩm: %s"
"Link (Related, Up sell, Cross sell)","Liên kết (sản phẩm liên quan, bán sản phẩm cùng loại có giá trị cao hơn - up sell, bán thêm sản phẩm liên quan - cross sell)"
"Link product does not exist.","Liên kết sản phẩm không tồn tại."
"Link to a Specified Category","Liên kết tới nhóm sản phẩm đặc biệt"
"Link to a Specified Product","Liên kết tới sản phẩm đặc biệt"
"List","Danh sách"
"List Mode","Dạng danh sách"
"List of Products that are set as New","Danh sách của các sản phẩm được thiết lập như mới"
"List of types","Danh sách các loại"
"Manage Attribute Sets","Quản lý các nhóm thuộc tính"
"Manage Attributes","Quản lý các thuộc tính"
"Manage Catalog Categories","Quản lý danh mục các nhóm sản phẩm"
"Manage Categories","Quản lý các nhóm sản phẩm"
"Manage Label / Options","Quản lý nhãn/ các tùy chọn"
"Manage Options (values of your attribute)","Quản lý các tùy chọn (các giá trị thuộc tính)"
"Manage Product Attributes","Quản lý các thuộc tính sản phẩm"
"Manage Product Sets","Quản lý các nhóm sản phẩm"
"Manage Products","Quản lý các sản phẩm"
"Manage Stock","Quản lý kho"
"Manage Titles (Size, Color, etc.)","Quản lý tiêu đề (kích thước, màu sắc...)"
"Max Characters","Số ký tự lớn nhất"
"Maximal Depth","Độ sâu tối đa"
"Maximum Image Size","Kích thước hình ảnh tối đa"
"Maximum Number of Price Intervals","Số tối đa của các khoảng giá"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"
"Maximum allowed image size for '%s' is %sx%s px.","Kích thước hình ảnh tối đa cho '%s' là %sx%s px."
"Maximum image height","Chiều cao hình ảnh tối đa"
"Maximum image width","Chiều rộng hình ảnh tối đa"
"Maximum number of characters:","Số ký tự tối đa cho phép:"
"Maximum number of price intervals is 100","Số tối đa của khoảng giá là 100"
"Media Image","Hình ảnh truyền thống"
"Minimum Advertised Price","Giá quảng cáo tối thiểu"
"Minimum Lines per Page","Số dòng tối thiểu mỗi trang"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"
"Minimum Qty for Item\'s Status to be Out of Stock","Số lượng tối thiểu để mặt hàng có trạng thái hết hàng"
"Missing SKU, skipping the record.","Thiếu mã sản phẩm, bỏ qua bản ghi."
"More Views","Xem thêm"
"Move","Di chuyển"
"Move category in tree","Di chuyển nhóm sản phẩm trong cây"
"Must be in the allowed values list.","Phải có trong danh sách giá trị cho phép."
"N/A","Không có"
"Name","Tên"
"Name in %s","Tên trong %s"
"New Product","Sản phẩm mới"
"New Product Attribute","Thuộc tính sản phẩm mới"
"New Products","Các sản phẩm mới"
"New Products Grid Template","Mẫu lưới các sản phẩm mới"
"New Products List Template","Mẫu danh sách các sản phẩm mới"
"New Root Category","Nhóm sản phẩm gốc mới"
"New Search","Tìm kiếm mới"
"New Set Name","Tên nhóm mới"
"New Subcategory","Nhóm sản phẩm con mới"
"Next","Tiếp"
"No","Không"
"No image","Không có hình ảnh"
"No layout updates","Không có bản cập nhật bố trí"
"No options of this product are available.","Không nhận được tùy chọn cho sản phẩm này."
"No product collections found.","Không tìm thấy tập hợp sản phẩm."
"None","Không"
"Not Visible Individually","Không hiển thị độc lập"
"Notify Low Stock RSS","RSS thông báo còn ít hàng"
"Notify for Quantity Below","Thông báo cho số lượng dưới đây"
"Number of Products to Display","Số sản phẩm được hiển thị"
"Number of Uses","Số lượng sử dụng"
"Number of results","Số lượng kết quả"
"Number of results (For the last time placed)","Số lượng kết quả (Đối với lần cuối được đặt)"
"OK","ĐỒNG Ý"
"OR","HOẶC"
"Old Price:","Giá cũ:"
"On Gesture","Về cử chỉ"
"Option validation failed to add product to cart.","Xác nhận tùy chọn không thể thêm sản phẩm vào giỏ hàng."
"Option values","Các giá trị tùy chọn"
"Option:","Tùy chọn:"
"Options","Các tùy chọn"
"Options Control","Kiểm soát tùy chọn"
"Options is required","Yêu cầu có tùy chọn"
"Our customer service is available 24/7. Call us at (555) 555-0123.","STCMeCOM phục vụ các Quý khách 24/7. Vui lòng gọi 0983109989."
"Out of Stock","Hết hàng"
"Out of stock","Hết hàng"
"PM","Chiều"
"Page Title Separator","Tách tiêu đề trang"
"Parent Category","Nhóm sản phẩm gốc"
"Pending","Chờ xử lý"
"Pending Reviews RSS","RSS nhận xét chờ xử lý"
"Percentage","Tỷ lệ phần trăm"
"Please add rows to option.","Xin thêm các dòng vào tùy chọn."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Xin cẩn thận khi bấm vào dòng này, nó sẽ tải dữ liệu gói từ tập tin được chọn và dữ liệu chưa lưu sẽ bị mất."
"Please click on the Close Window button if it is not closed automatically.","Xin bấm vào nút Đóng nếu cửa sổ trình duyệt không tự động đóng."
